Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,31.2414,49.24900000000002,40.70000141708656,600.1162159442902,5119326.0,"[ 3 16 54 40 67 56 13 30 83 24 69 44 32 20 43 50 72 66  0  5 22 37 65 19
 52 34 70 31 58 62 55 23 49 82 79 25 39 29 10  7  8 74 47 48 53  9 51 14
 38 75 61  4 17 64 68 42 33  6 35  2 26 45 18 27  1 60 46 21 36 15 28 71
 73 11 57 59 77 63 12 81 78 41 76 80]",18.0,24.0,24.0
FLS,7.348499999999999,41.76229999999999,9.426621245172065,432.0098826885224,1959132.0,"[46 45 80 38 14 73  4 60 71 21 57 36 79 11 30 35 49 67 61 12 65 56  8 64
 74  5 13 75 83 47 48 10  2  1 40 55 52 70 81 34 78 58 69 31  9 41 66 77
 54 24 19 63 50 59 76 72 51 33  6  7 20 42 39 62 82 43 16  3 15 22 37 53
 32 44  0 28 29 18 25 68 17 27 23 26]",1.0,1.0,17.0
BLS,7.539699999999999,41.18129999999999,9.13151220279546,600.0148251056671,2682652.0,"[24 19 50 15  3 16 43 18 29 22 37  0 28 49 35 30 11 79 36 57 21 71 60 14
 38 45 46 80 73  4 26 23 27 17 68 25 82 62 39 42 20  7  6 33 51 72 76 41
  9 31 69 58 78 34 52 70 81 75 83 13 12 61 67 56 65  5 74 64  8 44 32 47
 48 10 53  2  1 63 40 55 66 77 54 59]",4.0,10.0,22.0
TS,7.801399999999998,41.28410000000001,9.207456667907952,600.03892827034,2637138.0,"[36 57 21 71 60 14 38 80 45 46 42 39 20  7  6 33 51 72 76  9 31 69 58 41
 54 77 66 78 34 81 70 52 55 40  1 63 24 19 50 37 22 15  3 59 16 43 62 82
 18 29 17 68 25 23 26 73  4 79 27 28  0 44 32 47 48 10 53  2 75 83 13  5
 65 74 64  8 56 12 61 67 49 35 30 11]",7.0,19.0,21.0
SimAn,8.0915,37.414,8.110173607366857,600.0111770629883,1942632.0,"[27 17 68 25 62 82 43 16  3 15 18 29 28  0 44  8 67 61 12 56 65 74  5 13
 75 83 47 64 32 48 10 53 37 22 50 19 63  1  2 81 70 52 34 78 58 69 31  9
 41 66 55 40 24 59 54 77 76 72 51 33  6  7 20 39 42 46 45 80 38 14  4 60
 71 21 57 49 35 30 11 36 79 73 26 23]",8.0,7.0,16.0
ACO,7.473999999999997,23.518000000000004,9.616625340444251,600.0202629566193,38626.0,"[41, 77, 66, 54, 24, 19, 50, 63, 40, 55, 1, 2, 10, 48, 47, 53, 37, 22, 29, 18, 15, 3, 59, 16, 43, 82, 62, 25, 68, 17, 27, 23, 26, 73, 4, 21, 71, 57, 36, 79, 11, 30, 35, 49, 67, 61, 12, 56, 8, 64, 74, 5, 65, 13, 83, 75, 81, 70, 52, 34, 78, 58, 69, 31, 9, 76, 51, 72, 33, 6, 7, 20, 39, 42, 46, 45, 80, 38, 14, 60, 44, 0, 28, 32]",3.0,16.0,2.0
BCO,18.3384,47.23800000000002,35.33733348432118,600.0457088947296,2041000.0,"[13 38 10 37 58 16 57 70 25 83 64 28 45 44 74 35 82  3 26 14 61 20 49 66
 81 69 39  4  6 60 77 31 17 52 24 63 76 55 79 21 78 32 59 68 56 51 71 18
 40 73 62  2 53 22 42 65 41 12 48  5 19 50 80 75  9 54  0 11 47 34  7 29
 43 30 67 33 46  1 15 72 23 36 27  8]",15.0,20.0,18.0
PSO,32.203199999999995,48.075499999999984,40.40806071668068,600.0136423110962,570652.0,"[78, 43, 1, 57, 68, 14, 79, 37, 24, 41, 54, 10, 15, 4, 50, 39, 42, 19, 66, 77, 18, 25, 71, 45, 13, 8, 5, 44, 63, 83, 17, 62, 16, 70, 28, 74, 61, 67, 53, 80, 76, 22, 35, 47, 52, 55, 29, 2, 9, 49, 64, 82, 23, 20, 26, 7, 3, 60, 27, 48, 81, 21, 69, 31, 59, 6, 51, 33, 72, 75, 58, 32, 12, 36, 46, 38, 73, 56, 65, 34, 40, 30, 11, 0]",21.0,8.0,11.0
GS,31.685600000000008,47.9624,40.69363872223791,600.0183908939362,789678.0,"[38  3 15 14 68 28 36  5 52 37 63 78 22 18 72 34  2 59  4 60 53 16 24 62
 83 43 31 58 47 48 55 41 29 70 13 77 30 74 64 35 11  7 44 71 80 45 17 50
  6 66 75 76 40 32 56 79 73  0  1 49  8 61 10 81 33  9 69 26 25 46 27 21
 65 67 12 23 82 39 57 54 19 51 20 42]",19.0,15.0,12.0
BHA,32.6105,48.2107,40.76754221570089,600.0654692649841,2104698.0,"[39 16 34  3 41 31 50 17 72 64 44 75 69 10 22 37 57 36 74 45 62  7 43  8
 65 13 27 80 11 71 78 35 12 29 53 42  9 19 76 47 63 58 59 60 73 28 83 25
 38  1 32 15 24 40 23 30 82 51 49 81  2 54  6 26 48 21 66 70 18 77 33 20
  0 55 14  4 67 56  5 79 46 52 61 68]",22.0,23.0,19.0
SS,8.397999999999998,34.3239,9.182884307892174,600.0152351856232,135361.0,"[69 31  9 76 72 51 33  6  7 20 42 39 62 82 43 16 59 54 77 41 66 24  3 15
 18 68 25 46 45 80 38 14 60 71 21 57 11  2  1 52 70 81 75 83 13 12 61 67
 49 35 30 44 32  8 56 65  5 74 64 47 48 10 53 37 22  0 28 27 79 36  4 73
 26 23 17 29 50 19 63 40 55 34 78 58]",9.0,12.0,7.0
CA,11.5181,38.806700000000006,11.57071177255926,600.0148651599884,560107.0,"[38 14 73  4 49 67 13 83  5 65 12 61 57 71 60 21 36 79 11 44 10 40  1  2
 48 47 74 64 56  8 32 53 59 20 33  6  7 42 46 45 26 23 17 68 43 16  3  0
 28 35 30 27 25 39 62 82 18 29 22 37 63 24 54 76 51 72 41 66 55 52 70 75
 81 34 78 58 69 31  9 77 19 50 15 80]",12.0,11.0,9.0
