Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,11.4532,22.988099999999992,17.772558610531338,600.0767376422882,7718132.0,"[30 34 15 10  7  5 28 18  9 24  6 25  2 23 20 26 29  1 31  8 12 21  3 32
 27 13  0  4 19 11 16 22 14 33 17]",18.0,25.0,24.0
FLS,5.0869,16.986400000000003,5.410577003041198,35.559428453445435,272510.0,"[14  2 19 25  6 20 23 21 13 17  4 24 12  0  3 30 32  8 27 34  1 15 31 18
 28 29  5 10 16 26  9 11 33  7 22]",5.0,1.0,4.0
BLS,5.1037,18.9189,5.18851427176331,154.7849681377411,1225700.0,"[23 20 17  4 24 25  6 19  2 14 22  7  5 29 28 18 16 10 33 11 26  9 31 15
  1 34 27  8 32 30  3  0 12 13 21]",7.0,2.0,13.0
TS,5.0171,18.5681,5.051919616008441,600.0082631111145,4303863.0,"[ 9 18 28 29 16 10  5  7 22 14  2 19 25  6 20 23 17 21 13  0  3 30 32  8
 27 34  1 31 15 12  4 24 33 11 26]",2.0,11.0,21.0
SimAn,5.080399999999999,16.606699999999996,5.081721381342059,600.0097494125366,2837465.0,"[ 8 32 30  3  0 12 13 21 23 20  6 19  2 14 22 25 17  4 24 33  7  5 10 16
 29 28 18  9 26 11 31 15  1 34 27]",4.0,12.0,19.0
ACO,4.889199999999999,12.9167,6.050672195222161,600.0029821395874,136419.0,"[24, 4, 17, 23, 21, 13, 20, 6, 19, 25, 22, 2, 14, 7, 5, 10, 16, 29, 28, 18, 9, 26, 11, 31, 1, 34, 15, 30, 3, 0, 12, 27, 32, 8, 33]",1.0,7.0,2.0
BCO,5.7996,22.4524,13.726048340189854,600.0300929546356,3299925.0,"[30  3 34  4 13 20  7 14 10 22 19  6 16 25  2 23 21 24 15 27  1 33 11  8
 17  0 12 29 31 32 26 18 28  9  5]",13.0,20.0,20.0
PSO,11.784900000000002,22.7755,17.382977733355506,600.013555765152,718101.0,"[32, 27, 8, 34, 12, 19, 6, 17, 23, 24, 21, 20, 5, 1, 33, 16, 26, 29, 28, 14, 22, 7, 4, 25, 3, 13, 2, 15, 30, 31, 18, 11, 10, 9, 0]",22.0,15.0,9.0
GS,12.0188,22.7736,17.768985763650612,600.014402627945,780481.0,"[ 9 26 27  8 14 24 19  4 33 16 10  5  7 12 31 17 21 20 30  0 22  2  6 13
 23 32  1 11 25 29 34  3 15 18 28]",23.0,16.0,10.0
BHA,11.3512,22.755499999999994,17.833700041171152,600.0364215373993,2802925.0,"[ 1 11 31 26 30 21 10 24  6 23 13  5 29 34 25  8 33 14  2 19  9 17 28 22
  4 20 15  3 32 27  7  0 12 16 18]",17.0,21.0,18.0
