Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,7.655000000000001,19.086699999999997,14.10949666354282,600.1283524036407,11653501.0,"[23  0  7 22 11 20 17  1 10  9 19 15 25 21  6 14  2 12 16  8  3  5 24 13
 18  4]",16.0,25.0,24.0
FLS,4.449400000000001,15.313000000000002,4.644647837728158,11.426612377166748,142350.0,"[24  7 22 21 25 13  6 18 19 14  2 12 16  9 10  8 15 23 11  4  1 17 20  0
  5  3]",1.0,1.0,2.0
BLS,4.5524,16.159499999999998,4.604525245537488,53.0616819858551,661700.0,"[16 12  2 14 19 18 13  6 15 25 21 22  7  0 24  3  5 20 17  1  4 11 23  8
 10  9]",7.0,2.0,6.0
TS,4.580900000000001,14.846099999999996,4.603590801482191,600.0164468288422,6826886.0,"[21 15 23 11 22  7 24  3  5  0 20 17  1  4  8 10  9 16 12  2 14 19 18  6
 13 25]",8.0,13.0,22.0
SimAn,4.482399999999999,13.377,4.482858218473557,600.0137207508087,4123572.0,"[12 16  9 10  8 15 23 11  4  1 17 20  5  3 24  0  7 22 21 25 13  6 18 19
 14  2]",4.0,11.0,18.0
ACO,4.4577,9.839900000000002,5.277488927229706,600.0042216777802,272994.0,"[1, 17, 20, 0, 5, 3, 24, 7, 22, 21, 25, 6, 13, 18, 14, 2, 8, 10, 9, 12, 16, 19, 15, 23, 11, 4]",3.0,5.0,4.0
BCO,4.602600000000001,17.9783,10.426378013484983,600.0533821582794,5183455.0,"[22  7 21 11  4  9  8 10 14 25 24  1  5 19  3  0 17 20 23  2 12 18 16  6
 13 15]",9.0,21.0,20.0
PSO,9.0769,18.669500000000003,13.393396418436318,600.0147905349731,1109685.0,"[24, 3, 5, 11, 23, 8, 2, 19, 18, 25, 10, 7, 1, 22, 15, 14, 13, 6, 21, 20, 17, 12, 9, 16, 4, 0]",23.0,12.0,9.0
GS,8.6152,18.6499,14.108516599246038,600.0227663516998,1167053.0,"[16  2 10  9 12 13  6 15 11  4 19 18 25 21 22  3  7 14  8  1 17 24 20  5
  0 23]",22.0,16.0,11.0
BHA,8.499600000000001,19.0283,14.17458699225511,600.0691027641296,4302198.0,"[ 5  0 22 13  4  1 14  9 12 16 17 21  6  8 10  7 18 19 15 25 23 11  2 20
 24  3]",21.0,23.0,19.0
SS,4.5118,12.7895,4.98175774296251,600.0085866451263,1122437.0,"[ 9 10  8  2 14 19 18 13  6 15 25 21 22  7  0  5  3 24 11 23  4  1 20 17
 16 12]",5.0,10.0,10.0
CA,5.039500000000001,11.8096,5.040772754382542,600.0177896022797,1314907.0,"[ 7  0  5 24  3 20 17  1  4 14 19  2  8 10  9 16 12 18  6 13 25 21 15 23
 11 22]",14.0,14.0,12.0
VNS,4.5489,14.8958,4.549280688108087,600.0330374240875,988918.0,"[14 19 18 13  6 15 25 21 22  7  0  5  3 24 11 23  4  1 20 17 10  9 16 12
  8  2]",6.0,19.0,7.0
HS,8.2942,15.0778,8.370325858165032,600.0689859390259,8799395.0,"[26, 5, 22, 12, 24, 8, 25, 21, 18, 6, 9, 3, 19, 15, 20, 11, 13, 17, 10, 7, 16, 14, 2, 4, 1, 23]",19.0,22.0,23.0
ICA,5.1078,10.436100000000003,5.107937060271373,600.0028154850006,1406600.0,"[17, 20, 4, 23, 15, 6, 13, 25, 21, 22, 7, 0, 5, 3, 24, 11, 18, 19, 14, 2, 12, 16, 9, 10, 8, 1]",15.0,3.0,13.0
