Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,36.00450000000001,58.8865,47.95317989473666,600.1368675231934,4324430.0,"[ 0 26 11 30 52 71  6 62 74 17 77 40 84 29 75 38 45 61 80 34 81 53 28 79
 60 57 55 83 59 63 31 12 82 78 51 32 46 19 41 50 14 36 49 54 64  8 15 85
 22  4 48 47  7 70 37 18 20 43 72 25 69 73 13 65 39 67  2 66  9 16 27  1
 76 58  5 56 23 33 42 68 35 24  3 10 44 21]",16.0,25.0,25.0
FLS,8.088799999999997,49.2231,10.388869126493484,471.6344735622406,2068730.0,"[28 19 48 50 53 32 49 38 79 47 36 85 12 82 23 13 76 15 51 56 55 14 81 80
 63 24 71 25  3  4 33 83  8 22 34 78 59 73  1 42 45 27 61 57  0 21 37 18
 66 16 75 70 26 10 72 44  7  9 35 20 60 65 67 74 17 77 40  2 39  6 64 68
 29 54 52 69 62 43 30 11 46 41 31  5 58 84]",5.0,1.0,19.0
BLS,7.955499999999998,44.7073,9.659530359064483,600.007150888443,2571571.0,"[52 54 68 64 29 41 31  5 58 84 28 19 53 32 49 38 79 48 50 47 36 85 55 81
 14  8 83 22 34  4 33  3 25 78 59 73  1 26 10 72 44  7  9 35 20 60 65 67
 17 77 40 39  6 74  2 43 11 30 21 37 18 66 16 75 70 45 27 42 71 24 63 80
 61  0 57 15 51 56 76 13 82 12 23 46 69 62]",2.0,4.0,23.0
TS,8.278299999999998,47.6599,10.260688971657329,600.1083376407623,2260475.0,"[34 78 59 73  1 42 27 45 26 10 72 44 70 75 66 16  7  9 35 20 60 65 67 74
 17 77 40  2 18 21 30 11 43  6 39 64 68 29 54 52 62 69 46 23 41 31  5 58
 84 28 19 12 82 48 50 53 49 38 32 79 47 36 85 55 14  8 81 80 56 51 15 76
 13 57  0 37 61 63 24 71 25  3  4 33 83 22]",7.0,24.0,21.0
SimAn,8.389899999999999,49.23719999999999,8.416264072069618,600.0127799510956,1734329.0,"[82 48 50 53 49 38 32 79 47 36 85 55 80 63 24 71 25  3 33 81 14  8 83 22
 34  4 78 59 73  1 10 26 45 42 27 61 56 51 15 76 13 57  0 37 70 72 44  7
  9 75 16 66 18 21 23 46 69 62 11 30 43  2 74 65 20 35 60 67 17 77 40 39
  6 64 68 29 54 52 41 31  5 58 84 28 19 12]",8.0,6.0,16.0
ACO,7.969599999999999,25.024800000000003,10.121592697931272,600.0138862133026,34949.0,"[20, 35, 65, 60, 67, 17, 77, 40, 39, 6, 52, 54, 68, 64, 29, 41, 31, 5, 58, 84, 28, 19, 48, 50, 79, 53, 32, 38, 49, 47, 36, 85, 55, 56, 51, 15, 76, 13, 57, 0, 61, 37, 21, 30, 11, 62, 69, 46, 23, 82, 12, 81, 14, 80, 63, 24, 71, 25, 3, 4, 33, 83, 8, 22, 34, 78, 73, 59, 1, 42, 27, 45, 26, 10, 72, 44, 7, 9, 16, 75, 70, 66, 18, 43, 2, 74]",3.0,7.0,3.0
BCO,19.432100000000005,56.8216,41.36228584399175,600.0460333824158,1801595.0,"[27 57  4 50 23 12 79 14 44 66 46 24 45  1 35 77 68 54 64 29  6 62 28 38
 32 85 34 33 63 25 71 56 83 76 48 22 59  3 26 11 70 42 81 51 73 36 15  8
 60 65 16  7  9 72 74 20  2 43 21 49  5 13 58 41 67 17 52 69 84 53 31 37
  0 80 82 19 55 78 10 18 40 75 61 30 39 47]",15.0,17.0,17.0
PSO,38.04529999999998,57.33589999999995,47.93415250708807,600.0177094936371,509796.0,"[9, 4, 24, 74, 46, 21, 27, 56, 76, 69, 28, 79, 30, 50, 54, 37, 58, 11, 20, 17, 75, 57, 3, 33, 8, 47, 12, 13, 6, 68, 66, 77, 29, 59, 34, 83, 25, 52, 73, 16, 51, 71, 63, 45, 78, 1, 14, 42, 70, 26, 44, 72, 64, 55, 10, 19, 40, 67, 41, 15, 23, 49, 48, 18, 43, 5, 85, 60, 62, 84, 38, 32, 31, 80, 0, 39, 65, 82, 36, 22, 7, 61, 81, 35, 53, 2]",22.0,12.0,11.0
GS,37.8406,57.33099999999999,47.98132890438461,600.0153605937958,725620.0,"[21 62 77 61 12 48 47 55  4 25  3 72 28 53  1 59 73 10 76 45 85 51 63 36
  6 79  5 54 80 46  0 22  7 75 42  2 17 37 60 27 18 44 24 30 32 57 71 83
 81 19 50 49 67 20 15 58 29 38 41 84 33 69 31 52  9 68 43 82 26 23 56 14
 13 78 64 40 16 65 74 35 66 11 39 34 70  8]",21.0,10.0,12.0
BHA,37.1837,57.46820000000002,48.02389559240625,600.0614635944366,1862671.0,"[18 65 13 37 69 81 20  2 22 57 19 45 62 48 50 28 11 73 61 32 49 79 84 54
  6 68 64  8 70 33 63  0 52 67 75 80 71 58 15 85 44 12  5 53 29 34 21 51
 30 56 82 16 60 72 25 36 24  1  9  7 10 55 41 59 78 42 77 14 76 74 47 40
 38 23 35 26 17 43 39 27 66 31  4  3 83 46]",20.0,21.0,18.0
