Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,34.79319999999999,55.22589999999999,45.508281159356656,600.1251511573792,6070992.0,"[34 76  0  2 36 32 56 42 82 45 84 22 33 60 46 78  7 61  1 57  9 67 16 14
 53  5 68 29 41 44 66 59 15 49 54 87 17 65 35 26 74 69 28 24 38 18 51 62
 71 27 25 81 50  4 63 47 77 72 13  8 52 19 86 11 73  3 79 10 30 23 83  6
 20 64 70 40 55 48 21 58 85 31 37 75 80 12 43 39]",16.0,25.0,25.0
FLS,8.024700000000001,45.146299999999975,10.390439234747944,392.0199234485626,2143680.0,"[42 11 10 56 65 54 79 64 20  9 19 60 33 39 37 43 86 49 14 22 84 21 58 50
 27 28 76 68 47  4 25 29 62 69 48 67 45 74 24 31 16 83  1 17 23 18 15 46
 30  6 73  3 78 75 44 85 61  7 66 12 38 72 13  5 57 80 41 35 59  8 71 53
 55 77  2 52 81 32 51 82 34 36 40 87 70 63 26  0]",1.0,1.0,16.0
BLS,8.1657,46.85090000000002,9.664569649813371,600.0111975669861,3307934.0,"[56 65 54 79 64 20  9 37 43 86 49 14 22 21 58 74 84 39 33 19 60 46 30  6
 73  3 78 18 15 23 17  1 83 16 24 31 75 44 85 61  7 66 12 38 67 48 45 50
 27 28 25 29 62 69 72 13 35 41  5 57 80 59  8 71 53 55 77  2 32 51 82 34
 36 40 81 52  4 47 68 76 26 63 87 70  0 42 11 10]",4.0,10.0,23.0
TS,8.6417,45.2779,10.14044841875348,600.0175793170929,3038987.0,"[67 45 74 84 21 58 50 27 28 76 68 47  4 29 62 35 41  5 57 80 71  8 53 55
 59 25 77  2 32 52 81 51 82 34 36 40 87 70 63 26  0 42 11 56 65 54 79 64
 10 86 49 14 22 43 37 20  9 39 33 19 60 30  6 73 18 15 46 23 17  1 83 16
 31 24 85 44 75 78  3 61  7 66 12 38 72 13 69 48]",7.0,13.0,21.0
SimAn,8.640699999999999,43.107000000000006,8.655590949921915,600.0099604129791,2400879.0,"[ 9 19 60 46 30  6 73  3 78 18 15 23 17 75 44 31 85 61  7 66 12 38 24 16
  1 83 33 39 37 43 86 14 27 28 76 68 47  4 25 29 62 35 69 48 50 21 22 84
 74 58 45 67 72 13 41  5 57 80 59  8 71 53 55 77 52  2 32 51 82 34 36 40
 81 63 87 70 26  0 42 49 11 65 54 79 64 56 10 20]",6.0,8.0,17.0
ACO,8.0885,25.275200000000005,10.362163762576314,600.008358001709,45522.0,"[41, 5, 57, 80, 8, 53, 55, 77, 59, 71, 66, 12, 7, 38, 85, 24, 31, 44, 75, 17, 23, 18, 15, 46, 33, 39, 43, 37, 86, 20, 9, 19, 60, 30, 6, 73, 3, 78, 61, 16, 1, 83, 74, 58, 50, 27, 28, 68, 47, 4, 81, 52, 2, 32, 51, 82, 34, 36, 40, 87, 70, 63, 76, 26, 0, 42, 11, 56, 10, 65, 79, 54, 64, 49, 14, 22, 84, 21, 45, 67, 48, 69, 13, 72, 35, 62, 29, 25]",2.0,7.0,3.0
BCO,17.897600000000004,53.38769999999998,39.57057500768104,600.0422325134277,2486560.0,"[76 81 80 47 71 22 63 34 15  6 33 75  7  1 66 53 30 87 60 19 16 44  5 70
 62 58 28 68 49 61 83 10 77 50 40 27 13 31 41 84 78 18 20 64 65  4 73 43
 86 79 74 67 29  3 36 57  9 37 25 48 45 72 52 32 59  8 55 69 35 24 42 14
 12 46 23  0 56 51  2 85 11 38 39 17 21 54 26 82]",15.0,20.0,19.0
PSO,35.940800000000024,53.57300000000001,45.53875626515371,600.0186293125153,618342.0,"[76, 8, 53, 58, 67, 84, 38, 75, 42, 51, 22, 87, 77, 47, 50, 70, 43, 52, 1, 4, 82, 34, 2, 29, 55, 7, 25, 28, 63, 27, 64, 14, 20, 17, 66, 62, 26, 32, 5, 23, 73, 30, 24, 44, 81, 71, 59, 80, 13, 68, 86, 61, 85, 16, 57, 12, 83, 36, 10, 45, 74, 69, 9, 41, 72, 31, 40, 56, 54, 65, 19, 6, 3, 39, 49, 18, 37, 79, 33, 60, 78, 11, 48, 21, 15, 46, 35, 0]",21.0,15.0,10.0
GS,36.2251,54.4999,45.52368026703438,600.0182301998138,969986.0,"[ 3  5 68 56 49 63 48 85 10 58 61 19 55 57 86  6 30 70 62 33 78 60 12 15
 37 13 45 18 17 75 59 77 73 79  0 26 21 14 22 16 71 74 65 25 80 50 42 27
 83 44 31  4 38 41  8 23 39 11 84 69 24  7 54 64 67 87 81 36 40 52 53 29
 46  9  2 34 28 47 20  1 72 35 66 82 51 32 76 43]",22.0,14.0,12.0
BHA,35.62719999999999,53.86140000000002,45.58156314338208,600.0571901798248,2475835.0,"[85 18 13  6 75 47 15 16 45 31 38 53  4  7 24 26 21 22  1  5 67 72 10 54
 87 69 57 52 74  2 23 40 39 46 73  3 44 43  0 30 19 86 50 49 29 68 80  8
 36 76 56 78 71 65 11 60 25 77 28 79 20 12 55 58 42 64 32 41 63 70 61 17
 83 48 35 27  9 66 34 37 14 33 51 62 82 84 81 59]",20.0,21.0,18.0
SS,9.2777,36.63010000000003,9.906452935172275,600.0146050453186,155885.0,"[ 5 38 85 17 23 18 15 46 33 39 37 43 86 10 56 11 42  0 65 54 79 64 20  9
 19 60 30  6 73 24 50 27 28 76 63 26 70 87 40 36 34 82 51 32  2 71 66 12
  7 61  3 78 75 44 31 16  1 83 74 84 22 49 14 21 58 45 67 48 69 72 13 35
 59 62 29 25  4 47 68 81 52 77 55 53  8 80 57 41]",9.0,11.0,7.0
CA,12.731299999999996,43.26420000000002,12.788707982608196,600.0164000988007,685335.0,"[13  5 66 80 57 41 35 42  0 26 68 47 59 55 77 32 51 82 87 70 65 56 79 54
 64 37 43 39 16 44 31 24 50 27 28 76 63 40 36 34 53 71  8 45 33 60 19  9
 20 86 10 11 49 14 22 21 84 83 15 18 23  1 74 58  4 81 52  2 25 29 62 69
 48 67 38 12  7 75 17 46 30  6 73  3 78 61 85 72]",12.0,12.0,11.0
VNS,8.108799999999997,45.99449999999999,8.162624731581193,600.010853767395,132992.0,"[42  0 26 70 87 63 76 27 28 68 47  4 52 81 40 36 34 82 51 32  2 77 55 53
  8 71 57 80 59 25 29 62 35 69 48 45 67 38 72 13 41  5 66 12  7 85 24 16
 31 44 75 61 78  3  6 73 18 30 46 15 23 17  1 83 74 58 50 21 84 22 14 49
 86 43 37 39 33 60 19  9 20 64 79 54 65 56 10 11]",3.0,9.0,6.0
HS,35.0778,45.79120000000001,35.45574437154955,600.0611917972565,2886850.0,"[57, 12, 79, 7, 31, 28, 82, 41, 29, 60, 22, 5, 40, 10, 25, 58, 23, 39, 53, 26, 81, 17, 46, 36, 78, 9, 33, 84, 13, 86, 14, 51, 88, 20, 16, 45, 74, 30, 67, 6, 24, 4, 32, 63, 34, 59, 75, 61, 47, 2, 35, 77, 19, 15, 27, 37, 52, 1, 66, 80, 38, 65, 21, 11, 55, 71, 50, 3, 72, 48, 43, 85, 87, 70, 49, 42, 54, 76, 73, 64, 68, 56, 44, 69, 62, 8, 83, 18]",18.0,22.0,20.0
ICA,12.067600000000002,44.58810000000001,12.088203541385049,600.0036203861237,508129.0,"[3, 78, 38, 72, 29, 25, 4, 47, 68, 28, 48, 69, 13, 5, 71, 8, 53, 55, 77, 2, 32, 51, 82, 81, 52, 59, 66, 12, 7, 61, 75, 46, 33, 39, 83, 24, 74, 84, 43, 37, 86, 49, 14, 22, 21, 50, 58, 45, 67, 41, 57, 80, 35, 62, 27, 10, 79, 54, 65, 70, 63, 87, 36, 34, 40, 76, 17, 73, 6, 30, 60, 19, 9, 20, 64, 56, 11, 42, 0, 26, 85, 44, 31, 16, 1, 23, 15, 18]",10.0,2.0,9.0
CAO,15.486400000000003,43.65710000000001,22.06789025287428,600.0216906070709,3303947.0,"[52  4 56 79 54 76 25 53  8 71 84 57  5 46 30 19 43 14  1 24 28  9 20 39
 33 15  6 73  3 75 58 70 87 63 81 40 34 36 82 51 32 77  2 55 41 66 38 61
 78  7 83 35 69 60 45 67 16 74 31 85 44 29 47 11  0 26 68 80 59 62 12 17
 18 23 22 37 86 49 13 72 21 48 10 50 27 64 65 42]",14.0,16.0,22.0
AIS,14.6895,41.2813,20.21229924999435,600.0270793437958,1021597.0,"[15, 33, 9, 46, 85, 61, 74, 45, 5, 57, 71, 66, 12, 72, 4, 68, 34, 63, 65, 56, 64, 20, 1, 84, 21, 50, 27, 67, 69, 80, 0, 59, 53, 35, 62, 47, 2, 77, 55, 25, 52, 81, 22, 39, 60, 6, 23, 17, 83, 37, 38, 7, 31, 18, 44, 58, 78, 3, 48, 43, 86, 49, 26, 24, 13, 41, 29, 14, 10, 28, 36, 32, 82, 51, 87, 8, 54, 79, 42, 11, 75, 16, 76, 40, 70, 19, 30, 73]",13.0,17.0,13.0
