Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,22.2542,38.7724,30.617530139476305,600.0929484367371,7731917.0,"[57 48 16 42 40 22 18 50 55  8 13 49  0  9 34 21  3 19 32 11  7  2 17 51
 20 43 58 26 44 54 46 25 23 14 52 15 28 56 33 24 39 12 27  5 10 45 59 37
  6 41 53  4 35  1 29 38 47 36 31 30]",19.0,25.0,25.0
FLS,6.550199999999999,30.05130000000001,7.510098400966517,119.33986759185792,892080.0,"[10 38 43  2 51 16 11  7 17 23 57 32 48 24 59 33 42 37 58 29 39 14 12 45
 15  6 52  1  3 35  4 18 40 28 56  5 13 27 54 50  8 44 19 46 25 36 20 41
 53 49 55  9 21 22  0 31 26 34 47 30]",7.0,1.0,12.0
BLS,6.771199999999998,32.20119999999999,7.067050567414626,522.8630373477936,3745320.0,"[47 10 30 43  2 51 29 39 58 16 38  7 11 17 23 57 32 48 24 59 33 52 15  6
 42 37 14 12 45  1 35  4 18 13 27 54 28 56  5 40  3 25 46 19 44 50  8 55
 21 22  9 49 53 41 20 36 26 34 31  0]",9.0,2.0,20.0
TS,6.319099999999998,31.805,6.603346440686392,600.0391409397125,3789780.0,"[12 14 39 58 29 51  2 43 38  7 11 17 23 16 57 32 48 24 59 37 42 33 52  6
 15  1 35  4 18 13 27 54 28 56  5 40  3 45 25 46 19 44 50  8 55 49 36 26
 20 53 41  9 21 22  0 31 34 47 10 30]",5.0,21.0,21.0
SimAn,6.403400000000001,30.304600000000004,6.409818985445507,600.0082912445068,2829191.0,"[29 51  2 43 38 10 30 47  0 22 31 34 26 20 41 53 36 12 14 25 46 19 44  8
 49  9 21 55 50 54 27 28 56  5 40 13 18  4 35  3 45  1 15  6 52 42 37 33
 59 24 48 32 57 23 17  7 11 16 58 39]",6.0,11.0,17.0
ACO,6.044600000000002,17.478099999999998,7.670001093371422,600.0051612854004,80485.0,"[53, 20, 41, 9, 21, 31, 0, 22, 47, 30, 10, 38, 11, 7, 17, 23, 16, 57, 32, 48, 24, 59, 33, 42, 37, 58, 39, 29, 51, 2, 43, 14, 12, 26, 34, 19, 44, 8, 49, 55, 50, 54, 27, 56, 28, 5, 40, 4, 18, 13, 3, 35, 1, 15, 6, 52, 45, 25, 46, 36]",1.0,7.0,2.0
BCO,11.467100000000004,37.4879,25.3588107787534,600.0349698066711,3109655.0,"[ 2 30 38 43 51 23 57 40  4 25 32 52 59  6 33 15 24 48 37 58 34  0 22  8
 55 49 26 17 39 20 50 54 27 35  1 19 56  5 18 13 44 46 28 36 53 45  3 42
 29 14 41  9 21 16 10 31 47  7 11 12]",15.0,20.0,19.0
PSO,22.5704,38.82569999999999,30.54298458368569,600.0132057666779,603354.0,"[4, 10, 46, 16, 11, 51, 21, 41, 47, 50, 9, 53, 7, 30, 45, 56, 29, 32, 24, 3, 35, 18, 37, 2, 52, 28, 27, 54, 44, 22, 55, 8, 36, 1, 14, 58, 42, 13, 40, 48, 57, 39, 34, 31, 25, 6, 26, 12, 23, 17, 43, 38, 15, 59, 33, 49, 20, 19, 0, 5]",21.0,13.0,9.0
GS,22.949700000000004,38.1619,30.61848061751874,600.0172679424286,1015061.0,"[36 50 22 58 39 25  7 52 42 37 29 27 15  6 48  0 21  4 45 19 40  5 54 53
  8 34 49  9 30 17 12 35  3 46 26 55 44 28 18 31  1 56 13 43 11 23  2 41
 47 57 32 59 20 24 51 38 16 14 10 33]",23.0,16.0,13.0
BHA,22.692699999999995,37.99189999999999,30.695162878736728,600.0451393127441,3005132.0,"[28 42  8 47 46 55 50 51 30  1 13 58  2 23 20 24  3 15 21 40 41 18 33  6
 17 12 39 54 31 34 26 11 10 25  9 53 14  7 37 59 48 56  4 27 44 49 52 16
 57 32  0 22 35 43 36  5 29 38 19 45]",22.0,22.0,18.0
SS,6.106700000000002,24.6335,6.6872605702989,600.0082876682281,296855.0,"[32 57 16 23 17 11  7 38 10 47 30 43  2 51 29 39 14 12 36 46 19 44  8 49
  9 41 53 20 26 34 31  0 22 21 55 50 54 27 13  5 56 28 40 18  4 35  3 25
 45  1 15  6 52 42 33 59 24 48 37 58]",2.0,10.0,7.0
CA,8.222600000000002,29.352199999999996,8.239367561688018,600.0126047134399,858843.0,"[50 55 49 36 14 29 51 58 16 17 23 57 32 48 24 59 33 42 37 12 46 19  8 44
 28 56  5  3  1 15  6 45 25 20 53  9 21 41 26 34 31 22  0 47 10  7 11 38
 30 43  2 39 52 35  4 40 18 13 27 54]",11.0,12.0,11.0
VNS,6.117899999999999,30.3359,6.131340215476741,600.0158259868622,253452.0,"[36 25 45  1 15  6 52 33 59 24 48 42 37 14 12 43  2 51 29 39 58 32 57 16
 23 17 11  7 38 10 30 47  0 22 31 34 26 20 53 41  9 21 55 49  8 44 50 54
 27 13 18 35  3  4 40  5 56 28 19 46]",3.0,14.0,6.0
HS,21.5603,30.601300000000013,21.825067599872863,600.0470612049103,4083430.0,"[23, 10, 17, 41, 54, 32, 46, 48, 42, 2, 43, 45, 37, 9, 28, 36, 15, 26, 47, 34, 51, 44, 18, 31, 4, 5, 6, 20, 50, 56, 14, 19, 40, 60, 24, 59, 11, 30, 52, 35, 22, 55, 29, 57, 27, 1, 3, 39, 12, 33, 25, 38, 49, 16, 7, 53, 13, 58, 8, 21]",17.0,23.0,22.0
ICA,9.5049,27.181899999999985,9.508178205897613,600.0020167827606,712870.0,"[6, 42, 23, 17, 11, 7, 38, 34, 41, 53, 20, 26, 30, 10, 47, 0, 22, 31, 43, 2, 51, 16, 57, 32, 58, 37, 15, 1, 35, 13, 27, 54, 50, 19, 46, 25, 14, 29, 39, 45, 3, 4, 18, 9, 21, 55, 56, 5, 40, 28, 44, 8, 49, 36, 12, 48, 24, 59, 33, 52]",13.0,3.0,10.0
CAO,9.746899999999998,30.1863,14.78372005536288,600.0159919261932,4139452.0,"[56 40 54 27 45 58 51 29 42 33 37 59 48 24 57 32 10 47 34 20  0 22 38  7
 17 23 11 39 43  2 16 30 12 36 26 41 53 31  9 21 44  8 28 49 46 14 15  6
 52  1 50 55 19 25  3  4 18 35 13  5]",14.0,15.0,23.0
AIS,9.2853,26.743200000000005,13.535141409012413,600.0186381340027,1483136.0,"[30, 10, 47, 0, 31, 51, 29, 43, 38, 16, 23, 7, 11, 17, 58, 12, 22, 9, 21, 55, 8, 56, 25, 49, 42, 37, 59, 24, 48, 6, 3, 4, 1, 33, 52, 14, 39, 2, 15, 35, 28, 40, 18, 27, 13, 5, 45, 36, 57, 32, 34, 26, 46, 53, 20, 19, 44, 50, 54, 41]",12.0,17.0,14.0
RFD,6.303699999999999,30.5117,6.311177781401319,600.0048735141754,2214217.0,"[45 25 19 44 46 36 12 14 39 29 51 58 37 42  6 15  1 52 33 59 24 48 32 57
 16 23 17 11  7 38  2 43 30 10 47 31  0 22 21  9 41 34 26 20 53 49 55  8
 50 54 27 13  5 56 28 40 18  4 35  3]",4.0,6.0,16.0
FA,23.7682,36.4254,30.615960974999837,600.0056145191193,7580048.143668857,"[14 39  2 11  6 48 30 47 42 56 26 50 37  4  1 49 53 31 34 10  0 45 15 23
 38 36  3 28 43 19 51 55 12 58 22  9 41 29 16 44  8 25 18 33 21 46 35  5
 20 52 24 59 32 17 57  7 54 13 27 40]",24.0,9.0,1.0
GA,6.5932,32.01350000000001,7.013415193536599,600.0287041664124,2058211.0,"[53  9 41 20 26 14 39 29 51 58 32 57 16 23 17 11  7 38  2 43 30 10 47 34
 31  0 22 21 55 49  8 44 50 54 27 13 18  4 40  5 56 28 19 46 25 45  3 35
  1 15  6 52 42 33 59 24 48 37 12 36]",8.0,18.0,15.0
GLS,27.1756,28.9917,28.233269999998868,600.0301222801208,156600.0,"[57 18 44 42 53  6  1 17 45 36 25 12 34 26 21 15 11  8 22 16  0 43 46 58
 31 50 10 55 49 47 35 23 51 37 59  5 52 32 30  7 41 38  2  3 29 33 48 54
 27 28 13 40 14 39  4 56  9 20 24 19]",25.0,19.0,5.0
