Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,15.774599999999998,30.433899999999998,23.43952909926095,600.1069738864899,9375884.0,"[34 30  0 41 11 33 29 14 35 10 23  6  8  4  5  7 18 36 27  9 31 16 21 38
  1  3 37 28 24 13 26 19 22 42 12 40 20 25  2 17 32 15 39]",19.0,25.0,24.0
FLS,6.299999999999998,24.786400000000004,6.870654912369566,46.088133335113525,422604.0,"[10 35 32 15 14  5 17 29 23 34  4  6 36 33 11 13 38 21  0 22 16  9 25 31
 42 41 19 20 12  2 26 30 27 40 28 18 37  7  8 39  1 24  3]",9.0,1.0,6.0
BLS,5.718999999999999,24.224400000000006,5.867675555524668,205.14978766441345,1869210.0,"[15 32 35 23 34  6  4  1 10  3 24 39  8  7 37 36 18 28 40 27 33 11 30 13
 29 38 26 12 20 19  2 41 42 31 25  9 16 22  0 21 17  5 14]",3.0,2.0,14.0
TS,5.8523000000000005,23.161000000000005,5.935001715029483,600.009895324707,5032421.0,"[ 2 19 20 12 27 33 11 30 13 26 38 29 17  5 14 15 32 35 23 34  4 10  3 24
  1 39  8  7 37  6 36 18 28 40 31 42 25  9 16 22  0 21 41]",5.0,10.0,21.0
SimAn,5.896199999999999,24.736699999999995,5.898375471544963,600.0143382549286,3389579.0,"[ 7  8 39  1 24  3 10  4  6 34 23 35 29 32 15 14  5 17 38 26 21  0 22 16
  9 25 31 42 41  2 19 20 12 30 13 11 33 27 40 28 18 36 37]",6.0,14.0,18.0
ACO,5.593399999999999,15.388999999999998,6.975922524981852,600.0041725635529,132302.0,"[5, 17, 29, 38, 26, 13, 30, 11, 33, 27, 36, 6, 34, 4, 1, 10, 3, 24, 39, 8, 7, 37, 18, 28, 40, 12, 20, 19, 2, 41, 25, 9, 42, 31, 16, 22, 0, 21, 14, 15, 32, 23, 35]",1.0,5.0,2.0
BCO,8.2607,28.7851,18.689909512816733,600.0366921424866,3950880.0,"[20 13 21  7 24 27 15 25 19  2  9  0 14 26 38 10 29 32 12 16 31  5 22 18
 33 36  1 35 41  6  4  3 11 17 39 40 28 37 34 23 30  8 42]",15.0,20.0,20.0
PSO,16.6825,29.015000000000004,23.32582357358284,600.0131404399872,968915.0,"[41, 33, 1, 4, 3, 34, 36, 18, 8, 39, 10, 37, 40, 42, 12, 9, 21, 23, 38, 13, 32, 17, 29, 2, 26, 27, 6, 31, 0, 25, 5, 19, 16, 20, 22, 28, 11, 30, 35, 14, 15, 24, 7]",23.0,13.0,10.0
GS,16.308999999999997,29.1654,23.44895063202729,600.0172066688538,1112529.0,"[ 4 36  8 39  6 30 17 38 16 31 42  2  5 19 32 15 20 27 23 12 13 11 14 29
  0 21 35  3 28  9 41 26 25 22 37  7 34  1 33 24 10 40 18]",22.0,16.0,13.0
BHA,16.124400000000005,29.786100000000005,23.50060417632428,600.0445172786713,3558201.0,"[ 8 27 16 33  2 15 32 18 24 17 11 23  9 26  5 30 12 40 39  1  4 31 41 38
  7  3 34 36 37 28 42 22  6 35  0 10 21 14 13 20 19 25 29]",21.0,22.0,19.0
SS,5.722099999999998,20.0094,6.27540367505228,600.0051965713501,533077.0,"[35 32 15 14  5 17 21  0 22 16  9 25 41 42 31 40 28 18 37  7  8 39  1 24
  3 10  4 34  6 36 27 33 11 13 30 12 20 19  2 26 38 29 23]",4.0,7.0,8.0
CA,7.697199999999999,22.6146,7.704682169829942,600.012805223465,1042480.0,"[20 19 41 25  9  5 14 15 32 35 23 29 38 13 30 11 33 36 18 37  7  8 39 24
  3 10  1 28 40 31 42 16 22  0 21 17 26  2 12 27  6  4 34]",14.0,12.0,11.0
VNS,5.9522999999999975,21.843899999999994,5.955199912786525,600.0151989459991,429958.0,"[35 32 15 14  5 29 17 21  0 22 16  9 25 31 42 41 19 40 28 18 36 37  7  8
 39 24  3 10  1  4  6 27 12 20  2 26 38 13 30 11 33 34 23]",7.0,15.0,7.0
HS,15.7026,25.4487,15.79518435069878,600.0539484024048,5344578.0,"[1, 17, 24, 33, 6, 15, 16, 5, 36, 14, 37, 31, 34, 13, 39, 8, 28, 4, 7, 18, 10, 3, 21, 12, 41, 42, 20, 38, 29, 19, 9, 25, 27, 23, 43, 30, 35, 40, 2, 11, 32, 26, 22]",18.0,23.0,23.0
ICA,7.121400000000001,21.4437,7.122333347031002,600.0026133060455,916783.0,"[0, 21, 29, 38, 13, 34, 6, 4, 10, 3, 24, 1, 39, 8, 7, 37, 36, 27, 12, 19, 20, 33, 11, 30, 26, 2, 42, 31, 40, 28, 18, 23, 35, 32, 15, 14, 5, 17, 41, 25, 9, 16, 22]",13.0,4.0,9.0
CAO,6.870899999999999,25.6935,11.671397115854203,600.0182840824127,5097287.0,"[34  8 37  1 24 39  3 10  4 18  7  6 29  5 21 22 16 25  9  2 13 30 11 36
 23 35 38 26  0 19 20 28 40 31 42 41 32 15 14 17 12 27 33]",10.0,17.0,22.0
AIS,7.1019,19.982299999999995,10.749245991327696,600.0236678123474,1966162.0,"[7, 4, 6, 18, 40, 28, 19, 20, 13, 17, 14, 35, 24, 26, 29, 32, 23, 1, 39, 15, 38, 16, 42, 25, 31, 9, 41, 12, 22, 0, 5, 2, 33, 37, 8, 3, 34, 21, 30, 11, 27, 36, 10]",12.0,18.0,15.0
RFD,5.978399999999998,23.297699999999995,5.981592547630523,600.0054969787598,2610118.0,"[33 11 30 13 26 38 29 17  0 21  5 14 15 32 35 23 34  4  1 10  3 24 39  8
  7 37 18 28 40 31 42  9 22 16 25 41  2 19 20 12 27 36  6]",8.0,9.0,17.0
FA,17.9482,28.3425,23.42924575000009,600.0053844451904,9089723.045443252,"[34 27 32 20  2 23 40 22 12 37  1 41  9 42  6 33 30 24  3 25 28 18 31 16
 15 39  4 10 38  5 17 21  0 26 29 13 11 35 14 19  8  7 36]",24.0,8.0,1.0
GA,5.687799999999999,25.5088,6.038487198061772,600.0293772220612,2571717.0,"[ 4 34  6 36 27 33 11 30 26 38 13 23 35 32 15 14  5 29 17 21  0 22 16  9
 25 31 42 41  2 19 20 12 40 28 18 37  7  8 39 24  3 10  1]",2.0,19.0,16.0
GLS,21.9555,23.26560000000001,22.592060465105934,600.0430836677551,267245.0,"[40 17 19 34 14  9  6 25 26  4 33 42 36 35 30 18 28 10 15 24  0 16 37  7
  1 27 12 23 13 21 29 11 41  2 38 22  3 39  8 20  5 31 32]",25.0,21.0,4.0
CSA,6.977999999999999,23.6225,8.211055485854338,600.01225066185,1090518.0,"[28, 40, 31, 9, 22, 16, 25, 42, 41, 26, 5, 14, 15, 32, 35, 23, 29, 17, 21, 0, 38, 34, 1, 10, 3, 24, 39, 8, 4, 6, 33, 11, 13, 30, 2, 19, 20, 12, 27, 36, 37, 7, 18]",11.0,11.0,12.0
IWO,16.1129,20.343100000000003,16.27867521661004,600.0048761367798,198540.0,"[29, 5, 10, 8, 1, 37, 40, 0, 21, 9, 38, 41, 28, 18, 35, 17, 32, 14, 16, 22, 34, 30, 6, 19, 20, 12, 36, 7, 4, 11, 25, 31, 42, 33, 27, 24, 3, 23, 15, 2, 26, 39, 13]",20.0,6.0,3.0
