Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,35.671400000000006,54.9961,45.59057038127329,600.1302871704102,4401415.0,"[13 16 10 52 62 26 19 36  0 27 74 44  7 31 55 21 37 50  8 79 61 54 72  6
 38 58 41 18 51 71  5 73 15 65  9 43 49 82 59 33  4 85 32 22  1  3 66 42
 53 34 40 67 45 30 25 83 76 39 17 14 24 47  2 84 81 78 70 28 77 69 35 64
 48 75 56 63 29 12 80 68 11 60 46 20 23 57]",20.0,24.0,24.0
FLS,8.190999999999995,45.9586,10.410448092786782,483.78502464294434,2054110.0,"[34 49 22 36 71 42  3 64 51  1  2 79  8 61 18 44 47 56 58 54 23 75 27 17
 74 65 70 14 32  7 39 55 43 33 84 11 16 37 24 52  5  0 21 35 63 72 29 20
 26 60  6 62 12 46 76 80 81 19 83 82 38 59 15 31 77 28  4 13 66 78 30 10
 69 68  9 45 25 73 41 85 40 67 57 48 53 50]",5.0,1.0,20.0
BLS,7.743500000000001,45.2217,9.583862773496444,600.008994102478,2573037.0,"[41 85 40 67 57 48 49 71 36 22  2  1 51 42  3 64 23 18 79 61  8 47 56 44
 54 58 63 35 72 29 20 26 60 76  6 21  0  5 75 27 17 74 52 24 62 12 46 80
 81 19 83 82 37 16 11 43 55 33 84 38 59 15 31 77 28  4 13 66 78 30 10 69
 68  9 45 25 32 39  7 70 65 14 34 50 53 73]",1.0,5.0,23.0
TS,8.389100000000001,48.8819,10.834166746040609,600.0299596786499,1929028.0,"[48 57 41 85 67 40  9 45 25 14 42  3 64 75 27 17 74 65 70 32  7 39 55 68
 69 10 30 78 66 13  4 28 77 33 84 31 15 59 38 81 19 83 82 37 16 11 43 24
 62 12 46 80 60 26 76 52  5  0 21  6 35 72 29 20 63 58 54 44 56 47  8 61
 79 18 23 51  1  2 22 36 71 49 34 50 53 73]",8.0,16.0,19.0
SimAn,8.338,47.7625,8.370057960177723,600.0111339092255,1674096.0,"[ 3 42 51 71 36  2 22 49 48 57 67 40 85 41 73 53 50 34 14 32 70  7 39 55
 25 45  9 68 69 10 30 66 13  4 28 77 31 15 59 38 82 83 37 16 11 84 33 78
 43 24 62 12 19 81 80 46 76 60 26 20 29 72 63 35  6 21 54 58 56 47 44 18
 61  8 79  1 23 75 27  5  0 52 17 74 65 64]",6.0,7.0,16.0
ACO,7.9643000000000015,26.2517,10.13644236168223,600.01185297966,35263.0,"[43, 16, 11, 84, 33, 78, 66, 30, 10, 69, 68, 9, 45, 25, 50, 34, 53, 49, 36, 22, 2, 1, 79, 61, 8, 47, 56, 44, 18, 23, 51, 42, 3, 64, 71, 75, 27, 17, 74, 65, 70, 7, 39, 55, 32, 14, 73, 41, 85, 67, 40, 48, 57, 5, 0, 21, 6, 62, 12, 46, 80, 76, 60, 26, 20, 29, 72, 35, 63, 58, 54, 83, 19, 81, 82, 37, 38, 59, 15, 31, 77, 4, 13, 28, 24, 52]",3.0,8.0,3.0
BCO,18.652299999999997,54.16000000000001,39.62062774616709,600.0502581596375,1776905.0,"[14 40 39 30 10 21 26 60 45 19 52 43 74 16 80 56 12 76 37 84 78 71 50 83
 15 17 32  4 36 29 65 24 31 59 77  7 47 13 68 11 64 72 20 69 22 51  3 46
  5 44 54 62 41 85  0  1 23 18 66 25 70 35  6 75 49 33 58 53 81 67 57  2
 27 73  9 55 82 42 79 48 61 38 28 63  8 34]",15.0,19.0,17.0
PSO,36.3969,54.35189999999999,45.60842596514281,600.014456987381,600998.0,"[50, 54, 21, 76, 46, 71, 61, 45, 6, 83, 82, 16, 24, 67, 84, 66, 35, 26, 30, 25, 47, 43, 40, 36, 18, 79, 27, 38, 64, 65, 62, 17, 78, 10, 31, 59, 28, 69, 58, 52, 44, 11, 15, 8, 1, 74, 41, 5, 22, 53, 7, 13, 4, 77, 57, 85, 37, 68, 32, 73, 49, 70, 42, 63, 56, 20, 80, 19, 72, 9, 23, 29, 60, 75, 39, 55, 81, 12, 14, 51, 34, 48, 33, 2, 3, 0]",21.0,10.0,11.0
GS,36.4457,54.237,45.57333370000624,600.0174901485443,713534.0,"[70 74  5 64 52 48 40 10 15 62 68 25 20 84 13 75 51  0 53 47 78  4 37 35
 23  8 34 21 27  6 60 58 81 49  9 73 69 85 45 30  7 38 16 39 43 77 72 54
 46 41 18  1 65  2 79  3 76 63 71 67 57 11 66 55 44 82 33 29 80 24 17 26
 32 50 36 56 61 22 83 19 12 14 59 31 28 42]",22.0,12.0,12.0
BHA,35.16089999999999,53.86810000000001,45.66861470670276,600.0650899410248,1779114.0,"[53 10  2 55 30 85 67  4 38 11 27 79 52 26 45 29 28 41 50 14 71 66 70  6
 42 24 54 12 51 39 16 62 83 81 19 44  3 23 36 61  9 65 22 32 76 68 49  1
 47 25 43 17 69 33 64 74 21  7 34 20 35 72 59  8 58 48 82 37 84 15 31  0
 73 13 77 75 80 46 60  5 78 18 56 63 40 57]",17.0,20.0,18.0
SS,8.876799999999998,39.91979999999999,9.526866170345034,600.0179364681244,118204.0,"[64 75 27  5  0 21  6 60 26 20 29 72 35 58 54 44 18 23 51 71 14  7 39 78
 13  4 28 77 31 15 59 38 81 19 83 82 37 16 11 84 33 66 30 10 69 68  9 40
 67 85 41 57 48 73 53 49 36 22  2  1 79 61  8 47 56 63 76 80 46 12 62 24
 52 43 55 45 25 50 34 32 70 65 74 17  3 42]",9.0,13.0,7.0
CA,11.481300000000005,44.62700000000002,11.6238221865812,600.0154645442963,534636.0,"[62 12 19 81 38 59 15 31 77 33 84 82 83 80 46 76 60 26 20 71 51 23 58 35
 21  0 52 74 64 42  3 65 70  7 39 50 53 34 14 17  5 54 44 18 75 27 32 25
 45  9 68 69 10 30 11 16 73 41 85 40 67 57 48 49 36 22  2  1 79 61  8 47
 56 63 29 72  6 37 28  4 13 66 78 55 43 24]",11.0,11.0,10.0
VNS,8.007399999999999,45.87709999999999,8.07319686794822,600.0102560520172,106767.0,"[52 24 62 83 12 46 76 26 60 80 19 81 82 37 38 59 15 31 77 28  4 13 33 84
 11 16 43 78 66 30 10 69 68  9 45 25 73 41 85 40 67 57 48 49 36 22  2  1
 51 64  3 42 71 14 34 53 50 32 55 39  7 70 65 74 17  0  5 27 75 23 18 79
 61  8 47 56 44 54 58 63 20 29 72 35 21  6]",4.0,6.0,6.0
HS,35.54380000000002,48.6744,35.81910276797064,600.0704956054688,2293756.0,"[2, 23, 71, 45, 24, 47, 62, 40, 10, 79, 70, 18, 32, 16, 81, 38, 82, 61, 21, 27, 59, 13, 12, 80, 73, 86, 25, 17, 69, 43, 28, 46, 41, 5, 14, 52, 67, 11, 63, 83, 60, 85, 77, 4, 22, 76, 50, 44, 55, 31, 26, 68, 19, 6, 64, 57, 9, 72, 3, 54, 35, 36, 65, 29, 84, 39, 1, 30, 20, 48, 8, 37, 56, 58, 49, 33, 74, 78, 53, 34, 42, 51, 75, 66, 15, 7]",18.0,21.0,21.0
