Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,10.529000000000002,20.9414,16.168298697996175,600.0782172679901,10915277.0,"[21 15 18 25 10  6  2 26 22  1 19  0  5  7 28  9 31  4 14 20 29 13 27 16
 30 12 17 24 23  8  3 11]",19.0,25.0,24.0
FLS,5.0614,16.264499999999998,5.371321434311792,19.748177766799927,224192.0,"[25 24  2 19 31  6 10 27 15 21 16 30 14  1  4 26 22 20  7  5  0  9 29 28
 13  8 23 12 11 17  3 18]",5.0,1.0,3.0
BLS,5.7201,16.417199999999998,5.785711208472782,89.42831516265869,1017792.0,"[30  1 14 26 22  2  8 13 28  0  4 20  7  5  9 29 23 12 11 17  3 18 25 21
 15 27  6 10 24 19 31 16]",13.0,2.0,12.0
TS,5.032399999999999,15.776999999999996,5.054871531067468,600.0069913864136,6082966.0,"[29  9  0  5  7 20  4 26 14  1 30 16 27 15 21 25 18  3 17 11 12 23 24 10
  6 31 19 22  2  8 13 28]",4.0,12.0,23.0
SimAn,5.1089,14.7686,5.109900040190696,600.006902217865,3884634.0,"[ 0  9 29 28 13  8  2 19 31 24 23 12 11 17  3 18 25 21 15 27 10  6 16 30
 14  1  4 26 22 20  7  5]",6.0,11.0,19.0
ACO,4.950999999999999,11.7616,5.888146822810017,600.0032634735107,208911.0,"[31, 19, 2, 24, 27, 15, 21, 18, 25, 3, 17, 11, 12, 23, 8, 13, 28, 29, 9, 0, 5, 7, 20, 4, 26, 22, 14, 1, 30, 16, 6, 10]",2.0,5.0,2.0
BCO,5.6125,19.885000000000005,12.529730754181037,600.0336887836456,4681630.0,"[12  9 29  8 11 10 19  1 14 20  4  0  7 30 16 15  6 31 27 18 21 25  3 17
 28  5 26 24  2 22 13 23]",12.0,21.0,20.0
PSO,10.7686,20.3524,15.952510462047451,600.0124785900116,984330.0,"[28, 13, 22, 4, 8, 5, 29, 1, 18, 3, 17, 11, 16, 27, 25, 24, 19, 26, 14, 30, 10, 20, 7, 2, 23, 6, 31, 21, 15, 12, 9, 0]",22.0,13.0,11.0
GS,10.959900000000005,20.5185,16.16326210778859,600.0174534320831,1142818.0,"[ 6 23 11 28 29 13  9  5 20  4 26  1 15  3 25  2 21 18 17 31 30 14 19 22
 10  7  0 16 27 24  8 12]",23.0,15.0,13.0
BHA,10.7609,20.7178,16.227098048973488,600.056069612503,3285144.0,"[23 13  6 26 17 15 10  1 20 29 28  3 14 30 16 24 25  0  9  5 18 31  8  2
 12 11 21 19 22 27  4  7]",21.0,23.0,18.0
