Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,12.4625,24.1956,18.75275078177328,600.0917553901672,9950940.0,"[37 15 36 23 26  4  3 24 32 10 27  1 14  9 12 11 28 21  5 17 25  7 31  0
  6 34 35 29  8 20 18 13  2 19 33 22 30 16]",18.0,24.0,24.0
FLS,5.5113,19.769300000000005,5.980853955241856,33.5005624294281,321974.0,"[ 5 17 21  7 35 23 20 29 34  8 22 32 10 13 18 27 28 19  2  6  1 15 16 33
 37 14 12  9 30 36  0 11 25  4  3 31 26 24]",6.0,1.0,4.0
BLS,5.391799999999998,18.7439,5.485081110164167,145.6789908409119,1443962.0,"[ 1 15 16 33 37 14 30 36  9 12 11 26 24 25  4  3 31  5 17 21  7 35 23 20
  0 29 34  8 13 18 10 22 32 27 28 19  2  6]",5.0,2.0,14.0
TS,5.5935,18.025,5.627279772195745,600.0161333084106,5484314.0,"[12 11 25  4  3 31 26 24  5 17  7 21 34 35 23 29 22 32 28 19 27 10  8 13
 18  2  6  1 15 16 33 37 14 30 36  0 20  9]",8.0,15.0,21.0
SimAn,5.5489,18.4645,5.550293524759232,600.0076100826263,3571395.0,"[28  0 36 30 16  1 15 33 37 14  9 12 11 25  4  3 31  5 21  7 17 24 26 20
 23 35 34  8 29 22 10 13 18  2  6 19 27 32]",7.0,9.0,18.0
ACO,5.1109,13.481699999999998,6.2623138726377405,600.0033383369446,154693.0,"[20, 23, 35, 29, 22, 10, 32, 27, 19, 28, 30, 36, 9, 12, 11, 26, 24, 5, 31, 3, 4, 25, 17, 7, 21, 34, 8, 13, 18, 2, 6, 1, 15, 16, 33, 37, 14, 0]",1.0,5.0,2.0
BCO,6.638200000000001,23.235000000000007,14.79571066513732,600.0314967632294,4265485.0,"[ 1 27 20 33 16 37  6 32  9 25 31  4  3  5 11 12 26  0 29 34  7 17 23 35
 21 24 36 30 14 28 22  8 10 18 13  2 19 15]",15.0,20.0,20.0
PSO,13.2433,23.3798,18.539254630782978,600.0109810829163,753771.0,"[26, 24, 7, 2, 15, 8, 28, 30, 1, 6, 32, 13, 10, 33, 37, 11, 16, 36, 17, 5, 3, 21, 27, 18, 22, 35, 9, 20, 34, 23, 29, 19, 0, 31, 25, 14, 12, 4]",22.0,11.0,9.0
GS,12.776300000000004,23.8441,18.75396501281523,600.0165565013885,1109895.0,"[ 9 15  6  0 27 36 33 37 25 26  5 29  3  4 31 24 35 19 14 12 11 13  1 20
  7  8 21 17 34 10 32 18 23 28  2 22 30 16]",21.0,16.0,11.0
BHA,12.459699999999996,23.9493,18.81088615555637,600.041675567627,3649031.0,"[35 29 26 33 21 17 22  6  3  0 32 19  2 25 24 23  7 20  4  9 31 30 14  1
 16 36  5 34 13  8 27 18 37 11 12 28 15 10]",17.0,22.0,19.0
SS,5.1909,17.3046,5.694884086573726,600.0041069984436,623826.0,"[17 24  5 31  3  4 25 12 11 26  0 20 35 23 29 22 10 32 27 19 28 30 36  9
 14 37 33 16 15  1  6  2 18 13  8 34 21  7]",2.0,6.0,8.0
CA,6.3576000000000015,17.730700000000002,6.36211114180674,600.0119552612305,1139030.0,"[21 34  8 29 22 10 13 18  2  6  1 15 16 30 28 32 27 19 36 11 31  3  4 25
 12  9 14 37 33  0 20 23 35 26 24  5 17  7]",14.0,12.0,12.0
VNS,5.6867,18.141300000000005,5.688202051498195,600.019134759903,533456.0,"[11 12  9 36 28 19 30 14 37 33 16 15  1  6  2 18 27 32 22 10 13  8 34 21
 17  7 35 23 29 20  0 24  5 31  3  4 25 26]",10.0,18.0,6.0
HS,12.582,19.6599,12.76243553410496,600.0395708084106,5955759.0,"[31, 12, 15, 20, 3, 7, 14, 11, 36, 2, 38, 17, 16, 34, 9, 28, 29, 37, 33, 19, 8, 35, 10, 21, 22, 24, 1, 6, 18, 5, 27, 25, 32, 4, 30, 23, 26, 13]",19.0,21.0,23.0
ICA,5.83,18.0531,5.83121947389557,600.0022361278534,1020369.0,"[6, 19, 28, 27, 32, 10, 22, 20, 0, 36, 30, 9, 14, 37, 33, 16, 15, 1, 29, 23, 35, 7, 5, 31, 3, 4, 25, 12, 11, 26, 24, 17, 21, 34, 8, 13, 18, 2]",11.0,4.0,10.0
CAO,5.6407,17.365399999999998,9.682319280135708,600.0160694122314,5558224.0,"[12 20  9  0 23 35 24 26 36 30 16 15  1  8 10 22 29 34 13 28 27 18  6  2
 19 32 37 33 14 31  7 21 17  5  3  4 25 11]",9.0,13.0,22.0
AIS,6.1309,15.5867,8.986424802670173,600.0161032676697,2181314.0,"[37, 33, 15, 19, 18, 10, 7, 21, 17, 35, 31, 3, 25, 4, 11, 12, 9, 16, 0, 20, 27, 32, 22, 28, 1, 6, 2, 13, 8, 34, 29, 26, 24, 5, 23, 36, 30, 14]",13.0,14.0,15.0
RFD,5.238499999999999,17.982400000000002,5.239634958932551,600.0046484470367,2791554.0,"[18  2  6  1 15 33 37 14 16 30 36  9 12 11 25  4  3 31 26 24  5 17  7 21
 34  8 29 23 35 20  0 28 19 27 32 22 10 13]",4.0,7.0,16.0
