Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,15.932399999999996,31.5001,24.322932281961844,600.0679566860199,9461584.0,"[13 39 34  0 20 17 32 25 19 10 28  1 36 18 41 11  5  4 14 21 24 27  8  7
 12 38  6 15 37 29 35 31 30 26 33 16  2 23 42 22  3  9 40]",20.0,25.0,24.0
FLS,5.563699999999998,25.328,6.211264523923118,45.41550374031067,424410.0,"[33  8  2 27 37 39 11 26 14  4 32 38 21 30 31 15  0  6  5 12 17 20 24 25
  3 22 42  9 19 18 41 34 23 36 40  7 10 29 35 28  1 13 16]",4.0,1.0,6.0
BLS,5.7738,23.025700000000004,5.912025217400436,199.83101201057437,1869210.0,"[38 32 21  4 14 26 24 42 25  3 22 18 41  9 19 23 34 36 40  7 10 35 28  1
 29 39 11 27 37 13 16 33  8  2 30 31 15  0  6  5 17 20 12]",7.0,2.0,14.0
TS,5.516299999999999,21.892000000000003,5.569515773170889,600.0094363689423,4994951.0,"[12 20 17  5  6  0 15 31 30  2  8 33 16 13 37 39 11 29  1 28 35 10  7 40
 36 23 19 34 41 18 22  3 25 42  9 24 26 27 14  4 21 32 38]",1.0,12.0,21.0
SimAn,5.5563,23.829700000000003,5.559249997479101,600.0077083110809,3310393.0,"[37 39 11 26  1 28 35 29 10  7 40 36 34 41 18 23 19  9 22  3 25 42 24 20
 17 12  5  6  0 15 31 30 21 38 32  4 14 27  2  8 33 16 13]",2.0,11.0,18.0
ACO,5.6311,14.4373,6.772192813089269,600.0039575099945,132630.0,"[21, 32, 38, 12, 4, 14, 27, 26, 11, 39, 37, 13, 16, 33, 8, 2, 30, 31, 15, 0, 6, 5, 17, 20, 24, 9, 19, 23, 36, 40, 7, 10, 29, 35, 28, 1, 34, 41, 18, 22, 42, 3, 25]",6.0,6.0,2.0
BCO,7.689799999999997,30.0178,19.16984687829693,600.0324203968048,3939715.0,"[40 37 23 27 38 21 10  8 12 18  6  0  9 39 28 35 30 32 14 33  2  1 16  4
 22 42 26 36  7 17 15  3 31 24  5 19 34 41 29 13 11 20 25]",15.0,20.0,20.0
PSO,17.097700000000003,31.258800000000004,24.05432736245189,600.0149202346802,748047.0,"[33, 16, 8, 15, 41, 34, 9, 38, 30, 21, 4, 24, 36, 10, 17, 20, 32, 28, 26, 39, 27, 31, 6, 5, 2, 23, 22, 42, 25, 1, 29, 37, 12, 14, 11, 35, 40, 13, 19, 7, 18, 3, 0]",24.0,14.0,9.0
GS,16.402,30.889,24.31597727638518,600.0156650543213,1082319.0,"[34 11 19 29 28 35 18 22 12  2 37 40 30 31 38  0  6  9 20 15  5  4 27 41
 23 17 24 26 25 42  3 10  7 16 39 14  1 33  8 21 32 36 13]",22.0,15.0,12.0
BHA,15.8047,30.808,24.400623908965017,600.042626619339,3498713.0,"[35 40  3 12 10 19 14 31  4  0 17 15  5 18 29 13 11  9 42 22  2 28 41 30
 24 26 20 37  6 21  1 32 38 34 36  7 33 23  8 39 27 25 16]",19.0,21.0,19.0
SS,6.175499999999999,23.6955,6.63472454133971,600.004555940628,526495.0,"[11 26 27 14  4 32 38 12 24  9 19 41 18 42 22  3 25 20 17  5  6  0 15 31
 21 30  2  8 33 16 13 37 39 23 34 36 40  7 10 29 35 28  1]",9.0,7.0,8.0
CA,7.675500000000001,22.2847,7.683768106964004,600.0116765499115,1052819.0,"[28  1  8  2 30 31 21  4 14 32 38 12  5 17 20 42 22  3 25  6  0 15 24 18
 41 34 23 19  9 27 33 16 13 37 39 11 26 29 10 36 40  7 35]",14.0,13.0,11.0
VNS,5.5599,24.3357,5.563217052278853,600.016429901123,425838.0,"[29 10 11 39 37 13 16 33  8  2 27 26 14  4 12 38 32 21 30 31 15  0  6  5
 17 20 24 25  3 22 42  9 19 23 18 41 34 36 40  7 35 28  1]",3.0,16.0,7.0
HS,15.756299999999998,24.579699999999992,16.298554298985252,600.0474851131439,5287519.0,"[7, 1, 33, 32, 15, 39, 6, 18, 13, 25, 24, 12, 28, 43, 35, 26, 41, 40, 20, 37, 38, 19, 11, 8, 10, 42, 23, 4, 34, 3, 22, 9, 27, 2, 30, 29, 36, 17, 31, 16, 14, 5, 21]",18.0,22.0,23.0
ICA,7.2096,22.32840000000001,7.211200989261199,600.0023512840271,901427.0,"[36, 40, 10, 13, 16, 33, 8, 2, 30, 31, 21, 5, 6, 0, 15, 4, 14, 27, 26, 28, 1, 37, 39, 11, 29, 35, 7, 34, 41, 18, 22, 3, 25, 42, 20, 17, 38, 32, 12, 24, 9, 19, 23]",13.0,5.0,10.0
CAO,6.977299999999999,24.4787,11.708413110677991,600.016640663147,5169014.0,"[19 42  3 22 41  9 18 35 36 23 34 29 10 28 20  0 15 25 24 32  4 38 14 30
 27 16 33  8  2 39 40 11  7  1 37 13 17  5 21 12  6 31 26]",12.0,17.0,22.0
AIS,6.965299999999999,20.92420000000001,10.709603805201189,600.0194809436798,2020155.0,"[23, 41, 39, 37, 13, 16, 8, 36, 4, 31, 38, 20, 17, 5, 0, 12, 19, 9, 42, 21, 15, 6, 25, 3, 22, 18, 34, 10, 29, 27, 11, 26, 24, 32, 30, 14, 2, 33, 1, 35, 7, 40, 28]",11.0,18.0,15.0
RFD,5.575199999999999,24.9305,5.577368630129591,600.0050168037415,2596954.0,"[24 20 17  5  6  0 15 12 32 38 31 30 21  4 14 26 27  2  8 33 16 13 37 11
 39  1 28 35 29 10  7 40 36 34 41 23 19 18 22  3 25 42  9]",5.0,8.0,16.0
FA,16.8191,30.006,24.323443089999973,600.0057108402252,8338755.58619108,"[41 23 32 15  5  4 14 28 39 24 17 12  6 31 27 29 40 35  7 36 10  0 30 37
 38 42  3 25 20 26 22 34 18  9 11 19  2 13 16 21  1 33  8]",23.0,9.0,1.0
GA,5.7969,25.304799999999997,6.151504147734513,600.0253534317017,2649400.0,"[18 42 22  3 25 24 20 17  5  6  0 15 31 21 32 38 12 26 27 14  4 30  2  8
 33 16 13 37 39 11 29  1 28 35 10  7 40 36 23 19  9 34 41]",8.0,19.0,17.0
GLS,21.340599999999995,23.568600000000004,22.25016976746033,600.0558331012726,281994.0,"[11 41  2 27 28  4 34 18 26 38 37 21  6 31 13 19 40 10  8 33 29  5 12 16
  3 32  7 20 25 22 35 36 23  0 15 17 24  9 30 39 42 14  1]",25.0,24.0,4.0
CSA,6.9462,25.72000000000001,7.966540827268197,600.001767873764,1105085.0,"[11, 14, 4, 32, 21, 31, 15, 0, 6, 5, 17, 20, 24, 25, 3, 22, 42, 18, 41, 7, 10, 29, 35, 28, 1, 13, 16, 33, 8, 30, 38, 12, 9, 19, 34, 40, 36, 23, 26, 27, 2, 37, 39]",10.0,3.0,13.0
IWO,16.2251,20.9008,16.54197869041891,600.0059516429901,187240.0,"[22, 35, 7, 10, 41, 6, 5, 17, 0, 31, 27, 13, 16, 2, 23, 38, 32, 19, 33, 37, 30, 14, 20, 21, 29, 15, 12, 26, 39, 4, 1, 40, 18, 28, 8, 11, 34, 36, 9, 24, 42, 25, 3]",21.0,10.0,3.0
BA,15.474800000000002,31.143699999999995,22.312653541031064,600.0493938922882,10177526.0,"[29, 36, 11, 37, 7, 25, 5, 26, 39, 1, 40, 34, 18, 33, 2, 31, 19, 4, 6, 41, 22, 28, 16, 21, 10, 35, 0, 32, 14, 13, 17, 12, 30, 24, 15, 38, 27, 20, 9, 8, 23, 3, 42]",17.0,23.0,25.0
DE,13.171500000000002,26.6401,14.89693337447331,600.001796245575,372891.0,"[0, 9, 18, 25, 41, 35, 28, 39, 40, 13, 29, 7, 10, 2, 19, 23, 22, 42, 3, 34, 1, 4, 36, 33, 8, 11, 16, 37, 27, 26, 38, 12, 24, 17, 20, 32, 14, 30, 31, 21, 5, 6, 15]",16.0,4.0,5.0
