Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,31.926,50.2232,41.49455742415532,600.1983239650726,5009688.0,"[23 20 19 26 32 12 38 84 10  3  2 54 52 73 60 39 41 28  4 66 11 40 17 70
  0 42 57 22 83 15 68 72 77 46 18 34 43 59 49 62 53 21 55 56 75  9 76 14
 30 47 45 63 82 48 25 81 13 51 65 36 37 61  5 50 79 33  6 44  7 80 27 67
 71 69 64 78 16 35 31 29  1 74  8 24 58]",17.0,23.0,25.0
FLS,7.815499999999999,44.67650000000001,9.962648493672948,433.90739846229553,1999200.0,"[76 42 44 58 31 36  9 59 75 80 45 49  7 16  6 29 24 64 27 62 67 69 26 10
 78 28 23 65 32 19 38 68 21  3 12 35 15 37 63  8 20 34 72 83 81 71 18 73
  4 55 39 60 46 66  1 56 53  5 17 13 25 77 61 41  2 74 14 79 43 84 40 52
 57 48 51 82 11 47 50 70  0 30 22 54 33]",4.0,1.0,17.0
BLS,8.0876,41.933700000000016,9.468376456307436,600.0046396255493,2672612.0,"[72 68 21 19 32 40 23 65 28 78 59 10 26 69 35 12  3 15 37 63 34 20  8 67
 62 49  7 16 27 64 24 29  6 80 45 75 31 58 36  9 44 42 76 52 57 84 43 79
 48 51 82 54 33 22 30  0 70 50 47 11 53 56  1 66 46 60 39 55  4 73 77 41
 61 13 17 25  5 14 74 38  2 81 71 18 83]",7.0,2.0,23.0
TS,7.8493,42.491400000000006,9.375674906905823,600.2885122299194,2553179.0,"[35 12 26 10 65 23 28 78 59 45 80 49  7 62 67 27 16  6 64 24 29 75 31 58
 36  9 44 42 76 52 40 84 32 19 74 14 79 43 57 48 51 82 54 33 22 30  0 70
 50 47 11 53 56  1 66 46 60 39 55  4 73 77 41 61 13 17 25  5  2 38 68 21
  3 83 81 71 18 72 15 37 34 20  8 63 69]",6.0,24.0,19.0
SimAn,7.6535,44.802399999999984,7.673606877148821,600.0245189666748,1965339.0,"[49  7 62 67 35 69 63  8 20 34 37 15 72 83 81 71 18 73  4 55 39 60 46 66
  1 56 53 11 47 50 70 48 57 52 51 82  0 30 22 54 33 42 44 58 31 36  9 75
 29 24 64 27 16  6 80 45 59 78 28 65 23 76 40 84 32 19 43 79 14  5 17 13
 25 77 61 41  2 74 38 68 21  3 12 26 10]",1.0,13.0,16.0
ACO,7.679100000000003,22.855799999999995,9.898184215278595,600.0161893367767,42085.0,"[84, 40, 23, 65, 28, 78, 59, 45, 80, 75, 31, 58, 44, 36, 9, 42, 76, 52, 57, 48, 51, 82, 70, 50, 47, 11, 53, 1, 66, 56, 5, 17, 13, 61, 41, 77, 19, 32, 10, 26, 35, 12, 3, 21, 68, 38, 74, 14, 79, 43, 0, 30, 22, 54, 33, 29, 6, 16, 27, 64, 24, 7, 49, 62, 67, 69, 63, 8, 20, 34, 72, 15, 37, 83, 81, 71, 18, 73, 4, 55, 46, 39, 60, 25, 2]",2.0,8.0,3.0
BCO,17.9031,48.18939999999999,36.006792175893416,600.0607151985168,2578735.0,"[35 83 32 73 72 51 33 38 84 36 75 69 78 68 24 61 34 31 13 54 59 62 64 79
 26 20 22 11 71 65  1 48  7 63 66 47 82 29 58  8 14 30 46 74 37 81 17 76
 16 27 50 67 18 45  5  2 15  0 10  9 25 70 23  4 57  3 21 49 56 39 80 41
 60  6 77 44 53 55 19 12 52 28 42 43 40]",15.0,17.0,21.0
PSO,32.81150000000001,49.31229999999999,41.24604306244467,600.0222339630127,513740.0,"[27, 16, 10, 39, 60, 55, 81, 1, 38, 35, 83, 54, 51, 75, 9, 42, 45, 59, 66, 5, 84, 33, 78, 36, 28, 31, 49, 40, 65, 58, 62, 47, 4, 67, 32, 0, 44, 22, 53, 3, 52, 8, 72, 43, 30, 77, 29, 7, 37, 61, 46, 25, 11, 69, 63, 26, 74, 19, 14, 76, 57, 24, 64, 17, 68, 18, 23, 12, 79, 56, 13, 70, 80, 41, 82, 48, 71, 73, 50, 34, 21, 2, 20, 15, 6]",23.0,10.0,10.0
GS,32.43819999999999,49.1362,41.49002059669865,600.0219433307648,996383.0,"[44 16 24 19 78 70 58 64 77 83 73 38 57 17  4 60 41 40 49 69 15 63 79 66
 36 31 27 29 55 46 56 47 14 53 33 25 34 67 68 81 13 11 51  0 80 42 84  1
 45 21 59 18  2 37 82 48  6 65 23 54 10 62  5 39 74  8 72 71 30 20 26 12
  7 28 32  9 75 35 61 22 76 52  3 43 50]",22.0,9.0,13.0
BHA,31.9572,49.39930000000001,41.57120268866967,600.0856411457062,2574435.0,"[37 72 20 64 33 30  2 22 38  1 29  5 14 78 62 67 84 65 74 81 19  4 60 77
 16 21 28 42 68 35 34 66 45 75 53 82 79 69 15 17 71 58 32 18 40 10 39  0
 48 55 57 54 25 43 76 36 44 12 56 63 47 70 11 73  8 27 83 80 59  3 23 51
 50 13  9 31  6 24 46 61 41 49  7 52 26]",18.0,20.0,20.0
SS,8.4408,34.2084,9.27835583983777,600.0240912437439,171229.0,"[55  4 77  2 68 26 67 62 24 64 27 16  7 49 10 32 19 43 14  5 17 13 41 61
 25 56  1 66 53 11 47 50 70 33 42 44  9 36 58 31 75 29  6 80 45 59 78 28
 65 23 40 84 57 52 76 54 22 30  0 82 51 48 79 74 38 21  3 12 35 69 63  8
 20 34 37 15 72 83 81 71 18 73 60 39 46]",9.0,12.0,7.0
CA,13.773,39.336400000000005,13.818563216707052,600.0245292186737,626164.0,"[55  4 73 83 15 37 35 19 32 65 23 42 33 54 57 52  9 36 58 31 75 67 20 34
 72 18 60 39 46 66  1 74 68  3 21 38 14 79 43 84 40 28 10 69  8 63 77 25
 56 53 11 51 48 17 13 61 41  2 12 26 62 27 16  7 49 80  6 64 24 29 44 22
 30  0 82 81 71  5 47 50 70 76 45 59 78]",13.0,14.0,11.0
VNS,7.8138,41.6058,7.865029720194691,600.0149581432343,114757.0,"[53 56  1 66 46 60 39 55  4 73 77 25  5 17 13 61 41  2 74 38 68 21  3 81
 71 18 83 72 34 20  8 63 15 37 69 35 12 26 10 67 62 27 64 24 29  6 16  7
 49 45 80 75 31 58 44 36  9 59 78 28 23 65 32 19 43 14 79 48 82 51 57 84
 40 52 76 42 33 54 22 30  0 70 50 47 11]",3.0,7.0,6.0
