Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,40.70279999999999,61.03189999999997,51.05985347888294,600.1905198097229,4501358.0,"[61 82 33 72 27 30 10 90 85 73 70 35 62  7 59 25 75 24 20 67 81 29 95 41
 88 45 66 49  9 83 16 43 84 39 91 54 21 63 64  3 23 57 13 60 19 79 40  8
 31  0 14 68 18 48 58  2  6 89 55 52 78 76 77 93 94  5 69 51 92 37 11 86
 15 44  4 50 87 34 71 36 28 53 46 17 12 22 56  1 65 42 47 74 32 26 80 38]",19.0,25.0,25.0
FLS,8.274999999999999,48.49900000000001,11.085843610140143,600.1718645095825,2653921.0,"[39 22 63 11 57 36 67 21 83 26 56 55 54 18 91 65  6  2 84 44 78 41 24 94
 25 92 45 38 34 51 71 15 86 58  4 77 29 40 82  7 28 52 53 19 79 75 62 33
 87  9 31 76 73 27 35 72  8 49 47 61 30 74 90 10 66 20 68 23 43 12  1 48
 95 46 32  0 64 50  3 80 16 13 85 93 14 70 17 81 89 60 69  5 88 37 59 42]",4.0,23.0,21.0
BLS,8.217699999999999,53.7099,11.007457782584993,600.004100561142,2961357.0,"[36 57 69 60 89 81 17 70 14 93 16 13 85 61 30 74 47 49  8 90 10 66 20 23
 68 80 67  3 50 43 64 32  0 12  1 48 95 46 55 26 56 54 18 91 65  6  2 84
 44 78 92 45 38 51 34  4 77 52 53 19 79 75 62 27 35 72 73 76 31  9 87 33
 28  7 82 40 29 58 86 15 71 25 94 41 24 59 37 42 39 22 83 21 63 88  5 11]",2.0,1.0,23.0
TS,8.206399999999999,48.43210000000001,10.937038835776262,600.0167212486267,2689550.0,"[16 13 68 20 66 30 74 10 90  8 49 47 61 85 93 81 36 57 60 89 17 14 70 76
 31 87  9 73 72 35 27 62 75 79 19 53 52 33 28  7 82 40 29 77  4 58 86 15
 34 51 38 45 92 71 25 94 24 41 78 44 84  2  6 65 91 18 54 55 26 56 59 37
 42 39 22 63 88  5 69 11 83 21 32 46 95 48  1 12  0 64 50 43 23  3 67 80]",1.0,8.0,22.0
SimAn,8.298,46.95879999999999,8.335395916619227,600.0120298862457,2069502.0,"[94 25 92 45 38 34 51 71 15 86 58  4 77 29 40 82  7 28 33 52 53 19 79 75
 62 87  9 31 76 73 27 35 72 49  8 90 10 74 47 30 61 85 93 14 70 17 81 89
 60 57 69 11 63 22 39 56 55 26 83 21 36 67  3 80 16 13 66 20 68 23 43 50
 64 32  0 12  1 48 95 46 54 18 59 91 65  6  2 84 44 78 41 24 37 42 88  5]",6.0,6.0,18.0
ACO,8.283799999999998,26.8325,10.702849550509338,600.0298581123352,38488.0,"[86, 15, 71, 25, 94, 5, 88, 60, 89, 81, 17, 14, 70, 93, 85, 61, 30, 74, 47, 49, 8, 90, 10, 66, 13, 16, 80, 3, 67, 36, 57, 69, 11, 63, 22, 39, 42, 37, 59, 24, 41, 78, 44, 84, 2, 6, 65, 91, 18, 54, 55, 56, 26, 83, 21, 32, 0, 64, 50, 43, 23, 68, 20, 12, 1, 48, 95, 46, 92, 45, 38, 51, 34, 4, 77, 29, 40, 82, 7, 28, 33, 75, 62, 79, 19, 53, 52, 87, 9, 31, 76, 27, 35, 73, 72, 58]",5.0,12.0,3.0
BCO,20.433,59.044,44.75278311895465,600.0409762859344,2148415.0,"[ 1 20 23 70 49 90 44  7 38 34 11 62 36 21 39 46 48 83 67 13 63 71 15 41
 91 32 82  3 30  8 52 84 18  0 54 89 43 68 16 58 45 25 86 47  5 59 42 24
 64 66  2 95 69 88 75 27 35 57 60 80 53 92  4 51 65 37 56 22 10  9 72 74
 19 79 40 61 31 81 12 26 94 55 33 28 87 77 50 17 78  6 93 14 29 76 85 73]",15.0,15.0,19.0
PSO,39.77550000000001,59.791700000000006,50.676070556223614,600.0148096084595,664334.0,"[53, 35, 77, 87, 29, 52, 26, 41, 91, 1, 51, 84, 32, 47, 54, 64, 3, 18, 75, 94, 49, 27, 86, 17, 60, 79, 88, 66, 14, 24, 21, 56, 30, 74, 90, 48, 85, 10, 61, 93, 37, 65, 5, 11, 81, 23, 12, 22, 36, 68, 72, 9, 19, 50, 80, 43, 20, 16, 13, 62, 7, 55, 63, 15, 71, 2, 6, 89, 25, 59, 31, 38, 34, 78, 46, 39, 8, 70, 28, 82, 73, 58, 40, 42, 44, 69, 95, 0, 92, 83, 33, 76, 67, 45, 57, 4]",17.0,7.0,11.0
GS,41.02300000000002,59.88659999999998,51.06069346843228,600.0177676677704,881672.0,"[54 76 59 63 73 72 69 90  7 58 25 29 53 91  1 46 19 34 67 23 11 32 39 45
 40 92 18 86  9 52 35 61 85 64 20 21  4 26 28 27 77 68  0 83 24 43 31 16
 87 93 33 82 47 13 80  3 17 51 71  5  2 37 36 55  6 14 49 70 42 41 84 57
 89 60 22 94 79 66 62  8 30 74 10 65 44 75 38 78 48 88 12 95 56 15 81 50]",20.0,9.0,13.0
BHA,41.57769999999998,60.7919,51.14934636022991,600.0747494697571,2010417.0,"[52 81 32  0 48 34 21 46 37 83 22 38  2 65 24 40 23 19 90 64 29 57 78 71
 36 60 18 76 86  8  5 35 43  9 92 62 89 67 55 51 54 85 95 45 41 77  7 17
 30  6 15 73 27 49 12 56 25 10 68 16 13 72 39 47 74 66 70 42 88 28 80  1
  4 44 84 79 53 14 59 33 87 82 50 91 94 93  3 11 31 69 63 75 61 20 26 58]",23.0,18.0,16.0
SS,9.9659,41.0467,11.07861758587342,600.0437569618225,88355.0,"[29 58 86 15 34 51 38 45 92 78 44 84  2  6 65 91 18 54 95 48 46 55 56 26
 22 63 94 25 71  4 77 52 53 19 79 75 62 33 28 87  9 70 85 61 47 90  8 49
 72 35 27 73 31 76 17 57 36 32  1 12  0 64 50 43 23 20 66 10 74 30 68  3
 80 67 21 83 39 42 37 59 41 24 88  5 11 69 60 89 81 16 13 93 14  7 82 40]",9.0,16.0,7.0
CA,12.367499999999998,47.947500000000005,12.647731537800915,600.0301759243011,394606.0,"[19 53 52 29 40 60 57 89 28 33 62 27 81 16  3 50 56 91 65  6  2 45 34  4
 77 71 25 24 37 59 41 78 84 44 92 38 51 94 36 67 80 68 20 23 43 12 48  1
 64  0 32 55 26 39 22 63 11 69  5 88 42 18 54 95 46 21 83 86 15 58 82  7
 87  9 73 35 72 70 93 85 13 66 10 90  8 49 47 74 30 61 14 17 76 31 75 79]",11.0,13.0,9.0
VNS,8.398099999999996,49.69659999999998,8.507497777827627,600.0235657691956,78932.0,"[12  1 48 95 54 18 91 65  6  2 84 44 78 41 24 59 37 42 88  5 11 36 57 69
 60 89 81 17 31  9 87 33 28  7 82 40 29 58 86 15 71 94 25 92 45 38 51 34
  4 77 52 53 19 79 75 62 27 35 72 73 76 70 14 93 85 61 30 47 49  8 90 74
 10 66 20 43 50 23 68 13 16 80  3 67 32 21 83 63 22 39 26 56 55 46  0 64]",8.0,10.0,6.0
HS,40.4962,50.8164,40.71119267781443,600.1238889694214,2044281.0,"[72, 26, 50, 28, 77, 20, 55, 40, 66, 52, 5, 16, 37, 90, 86, 62, 21, 69, 71, 75, 44, 68, 57, 76, 92, 38, 34, 51, 12, 61, 73, 88, 93, 36, 30, 70, 14, 60, 46, 45, 79, 67, 94, 81, 7, 64, 95, 23, 78, 54, 32, 1, 80, 10, 47, 49, 19, 17, 91, 27, 82, 24, 96, 4, 31, 8, 6, 3, 43, 13, 84, 25, 41, 74, 15, 33, 56, 89, 65, 48, 83, 85, 35, 42, 59, 87, 2, 22, 18, 53, 63, 9, 11, 58, 29, 39]",18.0,22.0,17.0
ICA,15.567300000000005,48.0179,15.595642926523547,600.0060248374939,405690.0,"[40, 28, 27, 72, 8, 49, 70, 17, 89, 60, 7, 82, 33, 75, 62, 14, 3, 64, 0, 12, 1, 22, 24, 92, 38, 34, 51, 94, 81, 93, 61, 30, 47, 31, 9, 87, 29, 77, 58, 86, 57, 36, 80, 68, 20, 23, 50, 83, 39, 65, 6, 2, 84, 44, 45, 4, 52, 19, 79, 53, 21, 46, 95, 48, 43, 66, 10, 90, 74, 69, 5, 88, 37, 59, 42, 26, 55, 32, 67, 16, 13, 85, 35, 73, 76, 11, 63, 56, 54, 18, 91, 41, 78, 25, 71, 15]",12.0,2.0,10.0
CAO,17.309100000000004,48.0097,24.573936357926307,600.0394265651703,2466879.0,"[87 14 89 36 67 24 26 48 83 85 61 49  8  3 80 42  7 40 65 56 46 55 69 54
 18 11 81 45 53 75 62 79 19  9 63 22 57  1 59 37 88 44 30 47 74 28 10 66
 17 82 73 35 90 76 60 94 25 91  6 84 29 77 78  2 21  5 41 86 33 52 58 34
 51 38 92 71  4 15  0 32 64 50 20 68 16 13 23 43 95 31 72 27 93 70 12 39]",14.0,14.0,20.0
AIS,15.9865,45.56390000000001,22.469830545037567,600.0652306079865,789477.0,"[39, 21, 10, 49, 47, 68, 43, 3, 80, 64, 81, 89, 51, 38, 58, 82, 76, 15, 29, 86, 26, 59, 16, 93, 85, 67, 46, 63, 42, 37, 6, 65, 83, 1, 0, 32, 54, 18, 57, 22, 36, 11, 2, 78, 91, 88, 69, 17, 9, 79, 62, 33, 40, 7, 25, 53, 87, 8, 74, 90, 30, 61, 71, 77, 28, 4, 5, 60, 27, 73, 14, 72, 35, 75, 52, 19, 70, 31, 34, 41, 24, 56, 55, 95, 48, 12, 50, 20, 23, 13, 66, 84, 45, 92, 44, 94]",13.0,17.0,12.0
RFD,8.360299999999999,53.24719999999999,8.410236742194504,600.0099945068359,1161169.0,"[78 44 84  2  6 65 91 59 42 39 22 63 83 26 56 18 54 55 46 95 48  1 12  0
 64 50 43 23  3 68 20 66 10 90  8 49 47 74 30 61 13 16 80 67 36 32 21 11
 69 57 60 89 81 14 93 85 70 17 76 31 73 72 35 27  9 87 28  7 82 40 33 62
 75 79 19 53 52 29 77  4 58 86 15 34 51 38 45 92 71 25 94  5 88 37 24 41]",7.0,4.0,15.0
FA,41.22839999999999,59.2283,51.0489477149999,600.0095205307007,4204922.127700811,"[50 64 45 86 19 87 26 51 18  6 22 35  3 85 61 90 17 13 23 76 36  9 74 81
 66 68 80 12 72 52 58 29 39  0 95 32 84 42 79 30 59 56 37 46 60 38 63 48
 65 11  2 21  4 33 75 31 93 57 16 92 34 62 40 89 47 67 71 82 53 88 25 94
 91 41 78 10 27 73 54 55 15 69  8 28  7 14 83 20 43 44  5 77 70  1 24 49]",22.0,3.0,1.0
GA,8.267099999999996,55.32599999999999,9.527974051535686,600.1014204025269,1159879.0,"[59 91 65 24 41 78  6  2 84 44 92 45 38 34 51 25 94 71 15 86 58  4 77 29
 40 82  7 28 87  9 33 52 53 19 79 75 62 27 35 72 73 31 76 17 89 60 81 14
 70 93 85 61 30 74 47 49  8 90 10 66 20 68 13 16 80 67  3 23 43 50 64  0
 12  1 48 95 46 32 55 54 18 56 26 83 21 36 57 69 11  5 88 63 22 39 42 37]",3.0,21.0,14.0
GLS,46.1197,47.89160000000001,46.749046875003984,600.1001148223877,50304.0,"[ 7 14 74 93 57 53 89 85 35 47 17 42 19 55 25 33 72 40 52 45 69 73 60 15
 87 46 31 44 16 95 36 80 18 41  0  8 94 58 29 77 26 86 82 21 81 37 50 38
 24 48 51 22 23 62 30 83 10  1 12  9 65 34  5 61 88 56 75 13 67 54 68 11
 32 66 90 63 79 49  3 43 64  4  6 91 59  2 71 70 39 84 78 92 28 27 20 76]",25.0,20.0,4.0
CSA,12.284200000000002,52.173800000000014,17.71025125178336,600.0873079299927,173981.0,"[38, 34, 51, 92, 25, 94, 63, 22, 39, 55, 46, 95, 54, 18, 56, 26, 83, 57, 81, 14, 17, 76, 73, 35, 70, 93, 85, 16, 13, 66, 20, 23, 68, 80, 3, 21, 42, 37, 24, 41, 78, 71, 15, 86, 61, 30, 47, 74, 10, 90, 8, 49, 72, 27, 87, 7, 82, 40, 29, 53, 52, 77, 4, 58, 32, 64, 50, 43, 12, 48, 1, 0, 67, 36, 11, 88, 5, 69, 60, 89, 28, 33, 19, 79, 75, 62, 9, 31, 59, 91, 65, 6, 2, 84, 44, 45]",10.0,19.0,8.0
IWO,41.04430000000001,45.24259999999999,41.09776949979289,600.0106172561646,63393.0,"[27, 58, 79, 67, 13, 68, 22, 65, 6, 78, 84, 15, 20, 10, 50, 57, 39, 9, 86, 17, 64, 46, 91, 18, 56, 43, 37, 88, 23, 47, 74, 3, 5, 85, 2, 11, 60, 21, 48, 95, 83, 77, 41, 66, 0, 12, 42, 94, 8, 76, 30, 54, 14, 55, 40, 44, 71, 36, 26, 73, 89, 61, 29, 52, 33, 7, 32, 93, 51, 70, 63, 19, 31, 34, 59, 35, 72, 45, 24, 49, 1, 80, 69, 38, 81, 92, 25, 53, 82, 4, 62, 28, 75, 16, 90, 87]",21.0,5.0,5.0
BA,39.48900000000001,60.52370000000002,48.38178917827408,600.1808886528015,3352348.0,"[64, 82, 44, 92, 4, 40, 79, 94, 2, 27, 91, 81, 39, 12, 48, 84, 56, 47, 65, 55, 5, 11, 13, 90, 54, 59, 67, 31, 25, 19, 7, 33, 35, 10, 0, 77, 29, 28, 83, 20, 43, 85, 62, 52, 3, 78, 18, 87, 32, 34, 30, 89, 24, 50, 69, 16, 88, 53, 74, 38, 17, 73, 15, 8, 58, 71, 41, 86, 22, 37, 57, 23, 66, 72, 9, 93, 6, 51, 36, 14, 68, 60, 95, 76, 1, 61, 70, 75, 26, 21, 42, 45, 80, 49, 46, 63]",16.0,24.0,24.0
