Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,16.249699999999997,29.552299999999995,23.45629294862668,600.0957260131836,8898081.0,"[ 5  4 11  2  7 35  1 19 23 44 33 30 32 37 31 17  8 13 45 28 27 14 20 36
 15  9  6 48 18 24 22 16 34 42 46 29 25 39 41 10 12 47 21 43 26  0  3 40
 38]",18.0,24.0,24.0
FLS,5.980199999999999,24.16130000000001,6.657641874652428,66.53760194778442,576240.0,"[19 21  1 48  7 15  2 11 32  8 20 30 37 43 17 40 13 38 31  3 33 35 47 12
 44 25  4  5  6 29 23 14 24 16 42 34 46 41 39 10 22 28 45 27 26 18  0  9
 36]",7.0,1.0,8.0
BLS,5.738499999999999,22.9082,5.896625168486979,282.5188112258911,2448432.0,"[12 44 25  4  5  6 24 23 29  1 48 38 31 13 40  3 47 35 33 37 30 20 43 17
  8 32 11  2 15  7 21 19 36  9  0 18 26 27 45 28 22 14 10 39 41 46 16 42
 34]",3.0,2.0,15.0
TS,6.097999999999997,21.363499999999995,6.17591582379099,600.0097784996033,4875888.0,"[16 46 41 39 10 22 28 45 27 14 24 23  6 29 26 18  0  9 36 19 21  7  1 48
 38 40 17 32 11 15  2  8 20 30 37 43 33 35 47  3 13 31  4  5 25 44 12 34
 42]",9.0,11.0,21.0
SimAn,6.039399999999999,23.216799999999992,6.042511710338693,600.0084779262543,3364024.0,"[16 42 34 12 44 25 47 35 33  3  4  5  6 29 38 31 13 40 43 37 30 20 17  8
 32 48  1 21 19  7 11  2 15  9 36  0 18 26 27 45 28 22 14 23 24 10 39 41
 46]",8.0,9.0,18.0
ACO,5.651099999999999,15.278700000000002,7.4085001058051985,600.0090172290802,114361.0,"[7, 21, 19, 36, 9, 0, 18, 26, 27, 14, 24, 23, 29, 1, 48, 38, 31, 13, 40, 17, 43, 37, 30, 20, 33, 35, 3, 47, 4, 5, 6, 25, 44, 12, 34, 16, 42, 46, 41, 10, 39, 22, 28, 45, 15, 2, 8, 32, 11]",1.0,10.0,2.0
BCO,8.1648,28.2193,19.118662247218403,600.0357136726379,3805945.0,"[29 40 45 39  2  8 20 38 13 25 23 18 15 32  7  1 44 46  0  6 14 21 11 19
 33 37 17 27 36 26  5  4 30 24  9 10 43 35 47 16 22 12 41 42 31  3 34 28
 48]",15.0,20.0,20.0
PSO,17.786200000000004,28.821,23.624924203041054,600.0122113227844,884050.0,"[5, 34, 16, 12, 22, 45, 7, 1, 35, 44, 25, 10, 28, 46, 19, 8, 11, 9, 4, 33, 38, 37, 30, 20, 32, 43, 13, 23, 3, 18, 2, 0, 15, 24, 41, 26, 14, 17, 40, 39, 31, 47, 29, 36, 48, 42, 27, 21, 6]",23.0,14.0,10.0
GS,16.443,28.67669999999999,23.446331353276825,600.016951084137,1114901.0,"[26 10 46 22 44 35 43 31  4  0 19 48  5 25 16 21 13 38 42 14 39 34 24  9
  1 32  8 20  2 17 11 37 47  7 18 33 30 40  3 12 23  6 28 45 27 41 36 15
 29]",19.0,15.0,13.0
BHA,16.8831,29.532099999999996,23.51804047447176,600.0456068515778,3464500.0,"[ 5 37  1 48 47 41 12 28 21  2 17  4 23 35 44 45 25 32  8 20 40 13 15 46
 36  9 29 27 18 26 22 19 10 39 42 31 11 14  0 34 24  7 30  6 16 38 43  3
 33]",22.0,21.0,19.0
