Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,35.897100000000016,56.503200000000014,47.26766966011774,600.1079909801483,4173029.0,"[88 18 38 21 22 42 61 52 59 30 31 91 82 75 69 10  4 25 51  7 65 55 16 11
 15 66 70 84 87 23 92 47 62 90 53 54  3 81 63  9 57 78 40 93 32 50 77 71
 46 27 24 73 72 79 60 64 58 56 13 20 67  0 26 34 28  5 41 29 19  6 37  2
  8 49 94 35 39 17 48 89 95 68 45 74 14  1 86 76 83 80 85 33 12 43 36 44]",16.0,24.0,25.0
FLS,7.611499999999999,46.6364,10.427644340127673,600.0052764415741,2236303.0,"[60 36 27 85 44  9 63 32 58 89 48 74 54 15  1 75  7 65  0 39 46 76 49 17
 80 83 14 37 43 12 77 57 51 25 22  2 31 69 10 73 26 30 24 78  5 40 42 13
 56 79 93 23 28  6 72 81 92 16 90 47 52 91 70 11 45 20 68 62 67 64 82 38
 55 21 84 61 50 87 59 66  4 29  3 94 95 19 33  8 53 34 35 18 88 41 71 86]",1.0,3.0,22.0
BLS,8.301399999999997,45.91710000000001,11.264411406806998,600.0152356624603,2338367.0,"[32 58 63  9 54 74 48 89 15  1 75  7 14 83 80 65 39  0 44 85 27 46 76 49
 17 37 43 12 77 57 25 51 88 41 18 35 71 86 60 36 33 84 61 21 91 59 66  4
 29 87 50  3 94 95 19  8 53 34 30 78  5 40 24 10 73 26 69 22  2 31 13 42
 56 79 93 23 28  6 72 81 92 16 90 47 52 70 55 38 11 45 62 68 20 82 64 67]",5.0,11.0,23.0
TS,8.605199999999995,43.4773,11.468213849994012,600.0167434215546,2056402.0,"[ 7 75  0 39 46 76 86 71  8 35 18 41 88 51 26 73 10 24 78  5 30 34 53 19
 33 36 60 27 85 44  9 63 74 54  1 15 89 48 58 32 67 62 68 20 45 11 55 38
 82 64 84 61 95 94  3 29  4 87 50 21 91 52 47 70 90 16 92 81 59 66 72  6
 28 23 93 79 56 13 42 40 31  2 22 69 25 77 12 43 37 57 49 17 80 83 14 65]",7.0,12.0,20.0
SimAn,8.240499999999997,42.1697,8.269423663796616,600.0093846321106,1652390.0,"[ 6 28 93 23 29  3 94 95 34 30 24 78  5 40 79 56 42 13 31  2 22 69 10 73
 26 25 51 88 41 18 35 71  8 53 19 33 84 61 50 87  4 66 59 21 91 52 47 55
 38 82 64 63  9 44 75  0 39 85 27 36 60 86 46 76 49 57 77 12 43 37 14 83
 80 17 65  7  1 54 74 15 89 48 58 32 67 62 68 20 45 11 70 90 16 92 81 72]",4.0,7.0,16.0
ACO,8.424299999999999,25.5897,10.72804256608858,600.0088684558868,29695.0,"[95, 94, 3, 29, 4, 87, 50, 61, 84, 33, 60, 36, 27, 85, 39, 0, 65, 7, 75, 1, 54, 74, 48, 89, 15, 63, 9, 44, 58, 32, 45, 20, 68, 62, 11, 70, 90, 47, 52, 91, 55, 38, 82, 64, 67, 21, 59, 66, 81, 92, 16, 72, 6, 28, 23, 93, 79, 40, 78, 24, 30, 73, 10, 69, 22, 2, 31, 42, 56, 13, 5, 71, 35, 18, 41, 88, 51, 26, 25, 77, 12, 43, 37, 83, 80, 17, 49, 76, 46, 86, 57, 14, 8, 34, 53, 19]",6.0,6.0,3.0
BCO,21.1645,54.3806,41.484946883462136,600.0392110347748,1668550.0,"[78 54 36 55 11 44 61 95 23 20 82 45 13  3 22 24 91 79 64 39 38 67 40 69
 53 73 12 57 32 15 27 83 68  0 33 46 34 30 75 49 17 41 80 65  2 94 26 72
 43 52  5 19 89 87  6 88 10 66 71 31 35 51  8 25 56 93 59 81 77 18 70 76
 21 74  1 86 37 85 29 90 16 92 84 28 50 42 62  4 63 58 48 60  9  7 14 47]",15.0,20.0,17.0
PSO,38.9009,55.56670000000001,47.57058559121831,600.0140235424042,557854.0,"[88, 53, 60, 9, 20, 29, 74, 46, 6, 51, 69, 37, 17, 47, 12, 21, 24, 79, 28, 93, 50, 85, 8, 90, 64, 78, 84, 42, 5, 13, 23, 2, 19, 52, 86, 31, 45, 58, 32, 55, 67, 16, 82, 89, 49, 57, 80, 14, 3, 92, 70, 33, 10, 94, 38, 15, 1, 26, 56, 72, 91, 59, 87, 68, 71, 34, 40, 39, 22, 73, 43, 25, 44, 77, 65, 83, 27, 81, 4, 76, 63, 62, 0, 41, 11, 95, 61, 35, 66, 48, 36, 75, 54, 30, 18, 7]",22.0,10.0,11.0
GS,37.5395,55.2621,47.23167742122176,600.0175628662109,680834.0,"[30 83 36 38 93 34  6 13 69 78 49 26 52 63 61 82 92 16 91  3 47 72 23 37
 10 56 57 75 64 62 45 15  7 19 18 33 73 88 50 81 20 84 68 12 31 11 40 46
 35  1 66  9 44 58 65 90 67 53 21  2 24 94 27 85 71 22 79 87 74 51 95 77
 39 28 48 32 70 55 29 41  5 76 43 25 42  4 59  8 89 54  0 60 86 80 14 17]",19.0,13.0,12.0
BHA,37.48889999999997,55.9947,47.33889784229719,600.064395904541,1731796.0,"[85 69 11 51 60 58 21 79 34  4 93 17 74 24 78 61 56 36 16 87 31 49  7 35
 64 81 66 15 54 48 82 33  9 50 40 77 86  8 37 55 52 92 65 70  1 22 10 46
 28 41 57 30 18 20 67  2 73 53 13 44 90 29 83 14  3 84  0 72 68 88  5 26
 91 19 95 39 71 25 27 75 23 62 45 89  6 38 47 80 63 32 12 43 76 94 59 42]",18.0,22.0,18.0
