Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,26.9402,45.67709999999999,37.28998916311133,600.1484396457672,6848434.0,"[32 65  6 33 63 45 43  4  1  2 57 50 15 35 49 13 68 70  3 42 17 27 59 29
 62  8 47 20 10 24 14 11 61 60 12 52 26 64  0 54  5 58 25 37 40 41 18 51
 19 23 30 55  7 16 46 53 66 38  9 28 31 56 48 34 36 69 39 22 21 67 44]",16.0,24.0,25.0
FLS,6.7244,38.01589999999999,8.110551996371449,199.450044631958,1322020.0,"[63 52 64 50 51 59 27 70 21 28  3 42 20 11 26  8 19 68 43  4 47 37 53 14
 46 16  2 17 35 40  9 41 10 13  7 66 38  1 57 30 55 23 29 31 49 45 67 36
 25 60 32 44 61 56 12 58 65 18 33 69 48  5 39  6 62 22 54 24  0 15 34]",1.0,1.0,13.0
BLS,7.4638,36.8847,7.979456510057101,600.0044627189636,3954100.0,"[33 18 61 44 56 65 58 12 32 60 25 36 67 39  6 62 31 29 45 49 23 55 30 57
  1 38  9 40 35 17  2 16 46 14 53 37 41 66  7 10 13 22 54 34 15  0 24 68
 19 43  4 47 26  8 11 20 42  3 28 21 70 27 59 51 50 64 52 63  5 48 69]",8.0,3.0,23.0
TS,7.450900000000002,39.04859999999999,8.072018822787559,600.0162150859833,3545493.0,"[14 46 16  2 17 35 40 41  9 38  1 66  7 57 30 55 23 29 49 45 36 67 31 62
 22 54  6 39  5 48 69 61 56 44 25 60 32 12 58 65 18 33 63 34 15  0 24 13
 10 68 19 43  8 26 11 42 28 21 70 52 64 50 51 59 27  3 20 47  4 37 53]",7.0,12.0,20.0
SimAn,7.385000000000002,39.2192,7.394908144843262,600.013260602951,2681824.0,"[22  7 57 66  1 38  2 16 17 35 40  9 41 10 13 24 68 19 43  4 37 14 46 53
 47 26  8 11 20 42  3 28 21 70 27 59 51 50 64 52 63 48 69 33 18 61 44 56
 65 58 12 32 60 25 36 45 49 23 55 30 29 31 67 39  5 34  0 15 54  6 62]",4.0,8.0,17.0
ACO,6.8051,20.975400000000004,8.615766778114152,600.0100979804993,66399.0,"[24, 22, 62, 6, 54, 15, 0, 39, 5, 48, 69, 33, 18, 65, 58, 12, 32, 44, 56, 61, 60, 25, 36, 67, 45, 49, 29, 31, 55, 23, 30, 57, 66, 38, 1, 9, 40, 35, 17, 16, 2, 46, 14, 53, 37, 4, 47, 26, 8, 11, 42, 20, 3, 28, 21, 70, 27, 59, 51, 50, 64, 52, 63, 34, 19, 43, 68, 13, 10, 41, 7]",2.0,7.0,3.0
BCO,15.1277,45.295100000000026,31.63585025197404,600.0572714805603,2849130.0,"[46 64 27 21 50  2 19 10 28  4 14 30 59 63  6 23 40 65  1 15 53 35 48 47
 12 52 45 44 41 18  0 68  7 11 42 54 17  9 70 43 60 51 20 62 55 58 49 32
 26 16 57 31 37 61 13 56 22 69 24 33 66 36 34 39  3  5 29  8 67 25 38]",15.0,18.0,19.0
PSO,28.834699999999994,44.89339999999999,37.115567000025735,600.0172891616821,651249.0,"[50, 43, 41, 68, 70, 21, 27, 69, 6, 38, 3, 9, 36, 58, 44, 14, 13, 34, 66, 16, 54, 39, 42, 51, 7, 30, 67, 60, 57, 40, 11, 26, 24, 19, 20, 59, 28, 29, 31, 2, 46, 17, 23, 49, 10, 56, 62, 8, 53, 55, 4, 35, 22, 47, 1, 45, 52, 33, 64, 5, 12, 18, 37, 0, 61, 63, 48, 65, 25, 32, 15]",21.0,13.0,10.0
GS,28.9815,46.11140000000002,37.2920736878569,600.0212304592133,997680.0,"[67 58 66 57 68 15 21  2 10 37 26 52 63 61 25 30  5 27 43 59 50 51 12 39
 44 32 20 70 54 41  3  0 36 42 34 38 48 60 31  7 53 45 62  1 19 65 28 29
 49 55 23 24 22 13 47 11 40  9 16 46 35  4  8 14 18 56  6 33 64 69 17]",23.0,15.0,12.0
BHA,28.0691,45.50719999999999,37.36366241189424,600.0746204853058,2716479.0,"[ 4 19 70 20  3 42 12 65 46 37 21 60  5 48  1 51 53 17 43 18 69 13 58 41
 30  8 54 23 49 57 61 33 26 10 29 11 47  6 67 45 62  2 39 28 40 64 50 35
 59 52 15 25  9 14 38 32 63 16  7 56  0 55 66 31 22 24 68 44 36 34 27]",19.0,20.0,18.0
SS,7.0776,31.9797,7.9131949639905885,600.013368844986,226807.0,"[46 14 53 47 20 42 11 26  8 19 68 43  4 37 35 40  9 41 10 13 22 62  6 39
 48  5 54 24  0 15 34 70 21 28  3 27 59 51 50 64 52 63 69 33 18 65 58 12
 56 61 44 32 60 25 36 67 45 31 29 49 23 55 30 57  7 66  1 38  2 16 17]",3.0,9.0,7.0
CA,10.187600000000002,36.2527,10.229119798109664,600.0193564891815,770877.0,"[53  4 43 26  8 28 21 70 50 64  0 24 22 62 31 29 57 66  7  6 39  5 63 34
 15 54 48 69 33 25 36 45 49 23 55 30  9 40 35 41 10 13 68 19 11 42 20 47
 37 38  1 67 60 32 12 58 65 56 44 61 18 52 51 59 27  3 17  2 16 46 14]",12.0,14.0,11.0
VNS,7.574100000000001,37.6743,7.598365461154836,600.0153694152832,191396.0,"[34 21 70 52 64 50 51 59 27  3 42 20 11 26  8 28  0 15 54 24 68 19 43  4
 47 37 53 14 46 16  2 17 35 40  9 38  1 57 30 55 23 49 45 36 12 58 65 18
 33 61 44 56 32 60 25 67 31 29  7 66 41 10 13 22 62  6 39  5 48 69 63]",9.0,11.0,6.0
HS,27.854000000000003,37.8044,28.361978922101667,600.0880818367004,3607783.0,"[13, 55, 63, 29, 44, 28, 27, 9, 15, 53, 61, 57, 6, 20, 23, 50, 42, 70, 35, 64, 71, 12, 22, 48, 47, 38, 17, 36, 11, 8, 54, 14, 10, 32, 31, 24, 43, 69, 65, 19, 59, 26, 18, 60, 51, 62, 4, 1, 16, 41, 5, 25, 37, 66, 7, 56, 67, 58, 33, 45, 40, 52, 2, 3, 46, 34, 21, 39, 30, 68, 49]",18.0,21.0,21.0
