Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,25.70739999999999,42.00279999999999,34.0116553300688,600.0870537757874,5543756.0,"[39  0  3  2 43 60  7 47 45 40 18 11 13 55 44 10  6 24  1 21 30 66 61 46
 29 63 64  5 14 56 53 59 19 62  9 37 15 32 58 25 42 36 35 54 33  8 23 27
 31 57 51 28 49 17 26 50 67 65 34 52 22 48 16 12  4 38 41 20]",20.0,24.0,25.0
FLS,7.421399999999999,35.1665,8.7898818319239,239.49420762062076,1184560.0,"[ 8  1 36 35 19  9  4 45 53 10 55 21 26 42 61 40 33 58  7  5 25 46 52 22
 34 15 64 37 65 60 48 16 56 17 14 43 23 54 29  3 20 12 32 27 50 63 39 30
  2  0 38 66 31 24 41 11 49 13 67  6 28 51 57 59 18 47 44 62]",8.0,1.0,14.0
BLS,7.0222000000000016,37.2962,7.632602852527112,600.0102865695953,3100242.0,"[57 59 47 44  8 62 53 10 55 21 26 19  9 45  4 35 42 61 40 36 48  1 16 56
 23 29  3 54 60 65 33 58  7  5 25 46 52 22 34 64 37 15 12 32 27 50 63 39
 20 43 17 14 38 66  0  2 30 41 11 49 24 31 18 67 13  6 28 51]",4.0,9.0,23.0
TS,6.770699999999999,32.16789999999999,7.3257115353818705,600.0121667385101,2955621.0,"[41 11 49 24 31 67 13  6 28 51 57 59 18 47 44  8 62 53 10 55 21 45  4  9
 19 26 42 35 61 40 36  1 56 16 48 33 65 58  7  5 25 46 52 22 34 15 64 37
 60 54 23 29  3 12 32 27 50 63 39 20 43 17 14 38 66  0  2 30]",1.0,12.0,21.0
SimAn,7.050299999999999,31.957100000000004,7.061229128311444,600.0082221031189,2175255.0,"[59 51 18 31 67 28  6 13 49 11 24 66  0  2 30 41 39 63 50 27 32 12 20 29
  3 15 37 64 34 22 52 46 25  5  7 58 40 61 36  1 48 33 65 60 54 23 43 38
 14 17 16 56  8 62 44 47 10 53 45  4  9 19 35 42 26 21 55 57]",5.0,7.0,17.0
ACO,6.8319,19.3492,8.531528764137093,600.0036587715149,53671.0,"[44, 47, 59, 57, 18, 51, 28, 6, 13, 67, 31, 24, 49, 11, 41, 30, 2, 0, 66, 38, 14, 17, 43, 20, 50, 63, 39, 27, 32, 12, 3, 29, 23, 54, 60, 65, 33, 48, 1, 36, 61, 40, 58, 7, 5, 25, 46, 52, 22, 34, 64, 37, 15, 16, 56, 8, 62, 45, 53, 10, 55, 21, 9, 26, 35, 42, 19, 4]",2.0,3.0,2.0
BCO,13.889400000000002,40.0689,28.72403575226376,600.0317106246948,2333290.0,"[13 38 33 18 50 10 19 40 12 32 64 23  3 37 48 60  7  5  8 17 52  2 66 59
 20 14 29 62  9 42 35 45  1 22 39 31 65 46 34 27 15 16 25 36 56 41 11 26
 49 24  0 54 43 21 53 51 67 61 55 47  4 58 44 57 28  6 63 30]",15.0,19.0,19.0
PSO,26.3201,41.38179999999999,34.07371655701377,600.0115392208099,464951.0,"[58, 62, 1, 4, 19, 10, 49, 29, 0, 57, 36, 34, 22, 52, 35, 8, 6, 44, 45, 9, 26, 3, 46, 43, 20, 23, 16, 48, 37, 60, 14, 27, 32, 24, 66, 17, 67, 61, 41, 31, 65, 21, 53, 18, 28, 25, 63, 33, 56, 39, 50, 11, 51, 47, 40, 64, 54, 12, 2, 59, 55, 30, 38, 13, 7, 15, 42, 5]",22.0,10.0,9.0
GS,25.6335,41.76419999999999,34.0101194211233,600.0172419548035,762685.0,"[10 48 46 52  7 12 41 31 43  0  8 59 51 44 25  5 22  3 64 55 39 14 63 60
  1  9 19 61 53 36 20 50 26 45 33 34 15 18 57 56 40 65 54 32 47 24 66 67
 13 28  6 49 23 11 21 62 30 37 29 27 42  2 17 58 38 35 16  4]",18.0,15.0,12.0
BHA,25.6858,41.686000000000014,34.07940743800224,600.0408978462219,2196276.0,"[10 38  2 11 13 60  4 26 48 22 29 32 53 12 30 51 28 44 46 58 37 66 19 35
 24 63 65 67  9 33 49  8 41  5 36 23 17 20 34 56 61 57 45 52 27  0 54 42
 39 50 64 15 25 59 43  1  6 47 55 16 14  7 40  3 18 31 62 21]",19.0,21.0,18.0
