Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,12.2754,24.3518,18.84300441540982,600.10236287117,7456889.0,"[27 29  0 23  6 30  1  8  9 22 34 35 28 26 15 16 21 12 17 32 20 14 31 36
 18  3 10  5 24 13  7  2 19 25 37  4 11 33]",19.0,25.0,24.0
FLS,4.842099999999999,19.693200000000004,5.242502544590272,43.173640727996826,327598.0,"[15 19 36 35  7  8 31  9 12 22 17 34 14 16 10  5  0 23  3 18  6 27 24 29
 33 30 25 11 37  4  1 13 20 32  2 21 28 26]",5.0,1.0,5.0
BLS,4.881799999999999,19.0896,4.974517961042627,190.53208231925964,1448180.0,"[34 14 12  5 10 16  3 23  0 24 18  6 27 29 33 30 25 11 37  4  1 13 20 32
  2 21 28 26 15 19 36 35  7  8 31  9 22 17]",6.0,2.0,14.0
TS,4.7947,17.6206,4.843961580500932,600.0088803768158,4134836.0,"[ 0  5 10 16 14 34 17 22 12  9 31  8  7 35 36 19 15 26  4 37 11 25 30 33
 29  1 13 20 32 28 21  2 24 27  6 18  3 23]",2.0,10.0,21.0
SimAn,5.2008,19.7341,5.202267351253635,600.0096566677094,2733651.0,"[ 3 18 23  0 24  6 27 29 33 30 25 11 37  4  1 13 20 32  2 21  7 35 28 26
 15 19 36 22 17 34 14 12  9 31  8  5 10 16]",9.0,11.0,18.0
ACO,4.7807,12.739399999999998,5.785420054106823,600.006715297699,118654.0,"[32, 20, 13, 1, 29, 33, 30, 25, 11, 37, 4, 2, 21, 28, 26, 15, 19, 36, 35, 7, 8, 31, 9, 12, 17, 22, 34, 14, 16, 10, 5, 0, 23, 3, 18, 6, 27, 24]",1.0,8.0,2.0
BCO,6.1921,24.029099999999996,14.728991200694235,600.0455944538116,3142010.0,"[ 4 27 19 16 24  0  2 13 35 20 21 30 37  6 33 23 18 17 22 31  3  1  7 28
 34 12 15 25 26 32  8  9 14  5 36 10 11 29]",15.0,21.0,20.0
PSO,12.749299999999998,23.957500000000007,18.859321229204483,600.013585805893,596207.0,"[8, 36, 35, 17, 34, 21, 28, 2, 11, 37, 30, 4, 18, 10, 24, 29, 33, 25, 15, 26, 9, 31, 22, 16, 27, 6, 5, 20, 13, 32, 1, 23, 7, 19, 3, 14, 12, 0]",21.0,13.0,9.0
GS,12.938000000000002,23.846299999999992,18.829959528372168,600.0177180767059,826626.0,"[ 9 31  8 12 22 10 35 34 21  1  4  6 20 36 14 28 15 19 32  0 29 13  2 37
 30 25 11 26 33 24  3 16 27  7 17  5 23 18]",23.0,15.0,12.0
BHA,12.8421,23.9868,18.90991239610005,600.0530979633331,2786707.0,"[17  7 34 26  1 27  2 16 12 11 18 32 21  4 37 13 24  9 23 35  5 20 31  8
 30 25 29  0 33  6 15 36 28 10 19 14 22  3]",22.0,22.0,19.0
SS,4.7947,16.659600000000005,5.281810714344793,600.0088486671448,487589.0,"[15 19 36 35  7  8 31  9 12 22 17 34 14 16 10  5  0 23  3 18  6 27 24  2
 21 28 32 20 13  1 29 33 30 25 11 37  4 26]",2.0,9.0,8.0
CA,6.149899999999998,17.2261,6.155164872605728,600.0140998363495,824639.0,"[ 0 23  3 16 14 34 17 22 12  9 31  8  5 10  7 21 25 11 37  4 15 19 36 35
 28 26 32 20 13  1  2 18  6 27 33 30 29 24]",14.0,14.0,11.0
VNS,4.834499999999999,17.929700000000004,4.836780436576467,600.0183594226837,396402.0,"[ 8  7 35 36 19 15 26 28 21  2 32 20 13  1 29  4 37 11 25 30 33 27  6 18
  3 23  0 24  5 10 16 14 34 17 22 12  9 31]",4.0,16.0,7.0
HS,12.1501,18.1436,12.226661926363294,600.0712728500366,4794264.0,"[28, 2, 25, 4, 1, 11, 19, 24, 26, 38, 5, 20, 37, 3, 27, 21, 34, 22, 31, 29, 15, 16, 32, 13, 35, 18, 10, 6, 23, 17, 8, 9, 36, 12, 33, 14, 30, 7]",18.0,23.0,23.0
ICA,5.7488,16.3279,5.749745941652545,600.0032212734222,741681.0,"[24, 2, 32, 20, 13, 1, 29, 33, 30, 25, 11, 37, 4, 21, 5, 10, 16, 12, 31, 8, 7, 35, 28, 26, 15, 19, 36, 9, 22, 17, 34, 14, 3, 18, 6, 27, 23, 0]",11.0,3.0,10.0
CAO,5.829499999999999,19.8363,9.398228362915903,600.0198700428009,4256858.0,"[12  5  8 24 18 27 21 28 20  2  6 23  3 16 34 14 22 17 31 36 19 15 26 35
  7 29 33 10 13 37 30  0 25 11  4  1 32  9]",13.0,17.0,22.0
AIS,5.598500000000001,15.707999999999997,8.663989488447893,600.0274164676666,1755830.0,"[37, 1, 25, 11, 33, 30, 13, 0, 5, 22, 17, 12, 34, 14, 16, 10, 31, 35, 8, 9, 26, 32, 15, 19, 36, 7, 24, 2, 3, 23, 27, 6, 18, 21, 28, 20, 29, 4]",10.0,18.0,15.0
RFD,5.159799999999998,20.0618,5.161511111715915,600.0059924125671,2173879.0,"[19 15 26  4 37 11 25 30 33 29 27  6 18  3 16 14 34 12 17 22  9 31  8  5
 10 23  0 24  1 13 20 32  2 21 28  7 35 36]",8.0,5.0,17.0
FA,13.933599999999997,23.2072,18.842161310000154,600.0062403678894,7152954.655768468,"[34 12 22 31 28 36 32 29  6 30  4 37  2 11 23  1 25 20 24 21 17  5  9 14
  0 10  8 18 13  7 15 35  3 16 27 33 26 19]",24.0,7.0,1.0
GA,4.938999999999999,19.818,5.3003206878678,600.0338633060455,2167869.0,"[29 33 30 25 11 37  4 26 28 21  2  1 13 20 32 15 19 36 35  7  8 31  9 12
 22 17 34 14 16 10  5 24  0 23  3 18  6 27]",7.0,19.0,16.0
GLS,18.0627,19.684300000000004,18.77499736842277,600.0362958908081,253118.0,"[15 28 24 25 36  0 19  4  5  6  9 23 20 21 12 34 33 29  3 26 27 16 30 37
  8 17  7  2 35 31 14 13  1 11 18 10 32 22]",25.0,20.0,4.0
CSA,5.758899999999997,19.0785,6.691754349692582,600.0127897262573,1087644.0,"[27, 23, 16, 10, 5, 0, 24, 33, 30, 25, 11, 37, 4, 26, 15, 19, 36, 35, 21, 2, 29, 1, 13, 20, 32, 28, 7, 8, 31, 9, 12, 22, 17, 34, 14, 3, 18, 6]",12.0,12.0,13.0
IWO,12.501400000000004,15.185699999999995,12.696800252625136,600.0060827732086,171375.0,"[30, 32, 1, 13, 37, 27, 0, 3, 4, 11, 18, 6, 20, 33, 15, 21, 29, 10, 16, 24, 23, 19, 9, 12, 34, 5, 17, 14, 22, 36, 7, 28, 2, 31, 35, 8, 26, 25]",20.0,6.0,3.0
BA,11.5941,23.936,17.244328221698833,600.0798978805542,8450348.0,"[16, 25, 19, 33, 11, 31, 17, 20, 37, 0, 3, 5, 23, 18, 13, 2, 27, 21, 35, 28, 8, 15, 24, 6, 26, 30, 4, 32, 36, 29, 1, 34, 9, 22, 7, 10, 12, 14]",17.0,24.0,25.0
DE,11.257599999999998,21.203000000000003,11.96056819936338,600.0058193206787,392416.0,"[16, 34, 7, 11, 1, 6, 23, 0, 18, 28, 12, 21, 17, 22, 14, 9, 31, 8, 32, 4, 37, 20, 35, 24, 27, 30, 25, 13, 33, 29, 2, 36, 15, 19, 26, 5, 10, 3]",16.0,4.0,6.0
