Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,39.928400000000025,60.681100000000015,50.854070495066296,600.1822025775909,5471706.0,"[16 38 60 20 47 97 79  1 33  8 35 28  6 78 62 25 96 10 45 29  7 84  3 82
 53  5 48 68 54 32 36 94 91 59 40 90 83 15 26 93 30 86 17 34 51 49 44 22
 73 81  4 76 19  0 67 63 70 95  2 11 27 71 66 52 18 64 31 23 61 65 92 50
 14 41 57 74 13 24 87 89 42 58 69 43 80 55 72 39 77 12 98 21 56 88 75  9
 37 85 46]",18.0,24.0,25.0
FLS,8.378900000000002,52.6409,11.274230675541704,593.0709807872772,2871792.0,"[66 67 21 19  6 98 13 39 34 44 23 61 79 52 65 77 57 62 78 84 20 24  7 49
 83 60 12 31 69  4 18 15 28  5 72 36 89 96 87 64 85 46  9 53 50 33 38 16
 40 14 10 92 75 58 42 59 37 91 45 51 74  3 47 56 81 71 27 68 88 11 43 25
 94  1 55  8 80 29 90 26 35 17 82 32 95 54  0 73 70 63 22 30 93  2 41 76
 48 86 97]",2.0,1.0,21.0
BLS,8.554,53.2251,11.607284282428946,600.0042660236359,2922582.0,"[74  3 47 56 81 71 27 68 88 11 43 76 41 48  2 95 54 93 86 97 66 22 30 63
  0 73 70 67 21 19  6 98 13 57 62 78 84 20 24  7 49 83 60 12 31  4 18 15
 28  5 72 36 89 96 87 64 85 46  9 53 50 33 38 16 37 58 75 14 40 10 69 52
 92 79 61 23 44 34 65 77 39 90 29 35 26 32 82 17 80  8 55  1 94 25 42 59
 91 45 51]",5.0,2.0,22.0
TS,8.492999999999999,50.95950000000002,11.486673911140285,600.0261685848236,2738919.0,"[14 40 89 96 87 64 85 72 36  5 28 15 18  4 69 52 65 31 12 60 83 49  7 24
 20 84 78 62 57 77 34 39 13 98  6 19 21 67 70 73  0 63 22 66 97 30 93 54
 95 26 35 17 32 82 41  2 48 86 76 43 11 88 68 27 71 81 56 47  3 74 51 45
 91 59 42 25 94  8 80 29 90 44 23 61 79 10 92 55  1 75 58 37 16 33  9 46
 53 50 38]",3.0,15.0,20.0
SimAn,8.6845,46.68050000000001,8.715516645763033,600.0166752338409,2219798.0,"[96 89 40 14 92 79 61 23 52 10 36 72  5 28 15 18  4 69 65 31 12 60 83 49
  7 24 20 84 78 62 57 77 34 39 44 90 29 80 17 35 26 13 98  6 19 21 67 66
 97 86 48  2 93 30 22 70 73  0 63 54 95 32 82 41 76 43 11 68 27 88 71 81
 56 47  3 74 51 45 91 37 58 42 59 25 94  8  1 55 75 16 33 38 87 50 53  9
 46 85 64]",7.0,9.0,17.0
ACO,8.6777,29.603100000000005,10.95892120848234,600.0147507190704,36641.0,"[97, 86, 48, 2, 41, 76, 43, 11, 88, 68, 27, 71, 81, 56, 47, 74, 3, 51, 45, 91, 59, 42, 58, 75, 37, 16, 38, 33, 50, 53, 9, 46, 64, 87, 96, 89, 40, 14, 85, 72, 36, 5, 28, 15, 18, 4, 31, 12, 60, 49, 83, 62, 78, 84, 20, 24, 7, 69, 52, 61, 79, 92, 10, 23, 44, 90, 29, 57, 77, 65, 34, 39, 13, 21, 67, 70, 73, 0, 63, 30, 93, 54, 95, 26, 35, 17, 32, 82, 80, 25, 94, 8, 1, 55, 6, 98, 19, 22, 66]",6.0,8.0,3.0
BCO,21.9366,58.84470000000001,44.80331482814663,600.0538513660431,2219570.0,"[75 12 49  8 37  9 51 68 73 25 38 11 26 22 71 81 14 40 10 33 13 67 19 15
 24 78 94 41 69 46 85 29 23 84 91  5 87 58 56 16 36 96 28 53  1 92 62 32
 66  3  2 31 18 57 77 80 35 17 21 27 74 48 43 88 30 98  6 39 95 82 97 70
 93 20 60 52 83 65 79 76 61 63 86 47 45 59 90 55 50 89 64 34 44  4  7 54
  0 72 42]",15.0,19.0,16.0
PSO,41.301,60.57220000000001,50.72498594966355,600.0179913043976,641714.0,"[69, 5, 89, 8, 48, 55, 93, 7, 66, 57, 95, 68, 74, 3, 1, 82, 56, 71, 88, 43, 33, 54, 76, 58, 39, 18, 77, 21, 23, 67, 97, 60, 81, 64, 84, 62, 9, 4, 92, 20, 10, 14, 51, 73, 26, 42, 35, 30, 78, 34, 85, 72, 46, 16, 90, 63, 13, 65, 17, 28, 87, 40, 53, 50, 91, 37, 59, 32, 47, 52, 98, 49, 22, 41, 70, 83, 15, 45, 94, 80, 38, 36, 11, 25, 2, 19, 79, 6, 96, 86, 0, 27, 29, 44, 75, 61, 31, 24, 12]",22.0,10.0,11.0
GS,41.16159999999999,59.85870000000001,50.86157169182599,600.019725561142,911228.0,"[ 9 20 49 14 58 48 24 11 17 82 95 83 15 46 33 10 28 86 47 60 63 21 97 22
 52 71 41 79  1 92  5 77 35 75 88  8 84  6 66 26 50 67 32 54 27 45 51 68
 96 53 42 55 91 37 62 19 70  3 74 76 81 43 80 90 98 36 25 31 57 12 38 65
 78 94 56 72 40 64 73 29 18 23 39 30 34  7 85 44 59 93  2  0 13 61 89 69
 87 16  4]",21.0,11.0,12.0
BHA,38.21309999999998,59.65260000000002,50.91906416871172,600.0824937820435,2256514.0,"[97 44  8 49 54 64 78 89 32 91 61 17 65 38 14  6 68 88 19 96 18 12 34 58
 45 76 27  5 60 52 31 74 40 23 87  9 42 16 47 57 35 98 10 66 71 15 94 33
 84 53 77 72 90 29 63 85 37 79 25 30 13 50 56 95 43 55 69 59 48 41 73 82
  1 81  2 22  7 80 93 20 24 83 39 62 36  3 92 67 11  0 46 28  4 21 26 86
 75 51 70]",16.0,21.0,18.0
SS,9.4017,42.28789999999996,10.667393687767063,600.0230960845947,127942.0,"[50 53  9 46 85 64 87 96 69 31 12 49  7 24 20 84 78 62 57 77 65 34 39 90
 29 26 95 54  0 73 70 67 21 98 13  6 19 83 60  4 18 15 28  5 72 36 89 40
 14 10 92  8 43 11 88 68 27 71 81 56 47  3 74 51 45 91 59 42 58 75 55  1
 79 61 52 23 44 35 17 32 82 76 41  2 48 86 97 66 22 63 30 93 80 94 25 37
 16 38 33]",9.0,14.0,7.0
CA,13.786699999999994,49.2184,13.87948884848896,600.0210573673248,624524.0,"[87 64 96 82 76 41 32 29 90 39 62 78 21 22 86 97 66 67 19 84 83 31 69 10
 36 72  5 28 15  4 12 60 49 20 24  7 18 85 46  9 53 50 33 58 42 25 88 11
 43 17 79 61 34 77 57 65 52 92 16 38 40 14 23 44  6 98 13 59 91 74  3 27
 71 81 56 47 51 45 37 75  1  8 80 35 26 93 30 63 70 73  0 54 95  2 48 68
 94 55 89]",11.0,12.0,10.0
VNS,8.5118,53.0703,8.607367469180806,600.0101435184479,103880.0,"[57 39 13  6 98 21 19 62 78 84 20 24  7 49 83 60 12 31  4 69  5 28 15 18
 85 64 87 46  9 53 50 33 38 16 14 40 89 96 72 36 10 92 79 61 52 23 44  1
 55 75 58 37 91 45 51 74  3 47 56 81 71 25 59 42 94  8 80 35 17 32 82 43
 88 27 68 11 76 41 48 86 97 66 22 67 70 73  0 63 30 93  2 54 95 26 90 29
 34 65 77]",4.0,6.0,6.0
HS,39.5049,53.8218,40.28542111868537,600.1191585063934,2528042.0,"[45, 54, 5, 33, 53, 70, 76, 52, 86, 73, 24, 25, 21, 23, 31, 82, 9, 41, 6, 78, 88, 99, 90, 43, 48, 60, 40, 61, 67, 71, 69, 3, 27, 91, 56, 50, 58, 64, 38, 37, 74, 20, 79, 22, 68, 84, 19, 75, 46, 89, 87, 18, 62, 77, 14, 96, 57, 93, 10, 97, 39, 47, 11, 2, 44, 63, 35, 7, 8, 42, 95, 30, 13, 98, 94, 55, 32, 80, 29, 16, 51, 65, 15, 85, 66, 36, 81, 1, 92, 28, 34, 26, 49, 59, 83, 4, 17, 12, 72]",17.0,22.0,19.0
ICA,13.804800000000004,48.80440000000001,13.823743420675989,600.0042843818665,438234.0,"[59, 69, 60, 7, 24, 20, 65, 58, 42, 37, 16, 33, 38, 40, 14, 79, 61, 52, 34, 77, 57, 83, 49, 84, 6, 98, 13, 39, 23, 44, 90, 0, 73, 67, 70, 54, 95, 88, 27, 68, 86, 21, 19, 78, 62, 12, 31, 4, 36, 72, 96, 89, 29, 26, 66, 97, 32, 17, 35, 80, 8, 1, 55, 75, 92, 10, 5, 28, 15, 18, 85, 46, 9, 53, 50, 64, 87, 45, 51, 91, 82, 93, 30, 63, 22, 2, 48, 41, 76, 11, 43, 94, 25, 71, 81, 56, 47, 3, 74]",12.0,3.0,9.0
CAO,18.11520000000001,52.6115,24.74018554908516,600.0335328578949,3046666.0,"[38 50 46  9 67 40 96 87 85  4 78 62 49  7 24 20 37 94 43  2 41  0  6 39
 52 75 58 80 11 27 71 56 47  3 74 45 15  5 61 98 90 82 59 25 53 91 13 92
  1 88 81 14 16 34 69 10 35 48 93 30 22 70 57 72 89 51 42  8 55 95 44 29
 21 32 17 26 77 65 31 23 79 66 86 97 76 68 54 63 73 36 19 12 60 84 83 18
 28 64 33]",14.0,16.0,23.0
AIS,16.622400000000003,44.54340000000001,22.552420103485275,600.0490922927856,915861.0,"[29, 57, 84, 19, 67, 11, 95, 12, 6, 62, 31, 52, 5, 15, 18, 69, 83, 78, 65, 44, 8, 94, 42, 58, 45, 51, 37, 40, 38, 50, 33, 71, 81, 56, 47, 75, 14, 92, 41, 97, 0, 21, 98, 13, 39, 35, 30, 34, 4, 63, 60, 49, 20, 24, 7, 10, 36, 59, 91, 16, 87, 64, 46, 9, 28, 72, 85, 89, 53, 96, 2, 77, 43, 88, 27, 68, 73, 48, 76, 93, 54, 70, 22, 66, 1, 82, 32, 17, 79, 61, 74, 3, 86, 90, 23, 25, 55, 80, 26]",13.0,18.0,13.0
RFD,8.363699999999998,49.78880000000001,8.40462764173847,600.0086500644684,1580707.0,"[71 27 68 88 11 43 76 41 86 48  2 93 30 97 66 22 63  0 73 70 67 21 98  6
 19 84 20 24  7 49 83 78 62 57 77 65 34 39 13 54 95 32 82 17 80 35 26 90
 29 44 23 61 79 52 69 31 12 60  4 18 15 28  5 36 72 96 87 64 85 46  9 53
 50 33 38 16 14 40 89 10 92 55  1  8 94 25 59 42 58 75 37 91 45 51 74  3
 47 56 81]",1.0,5.0,15.0
FA,41.75590000000001,60.8416,50.88756994999967,600.0057325363159,4816767.894854138,"[87 28 47  0 65 49 13 46 38 86 15 79 58 23 41 48 22 70  3 12 53 92 77 54
 76 32 90 17 74  1 91 56 51 96 20 37  9 45 50 35 75 42 44 62 81 34 61 89
 83 59 55 16 73 25 68 94 10  4 64 82 67 11 93 85 40 27 71  5 72  8  7 24
 19 80 98 57 66 33 60 63 78  6  2 97 30 21 26 43 88 39 84 31 69 52 29 95
 14 18 36]",23.0,4.0,1.0
GA,8.907000000000002,51.92319999999999,9.9410536377985,600.0574989318848,1351984.0,"[75 58 16 37 42 59 91 45 51 74  3 47 25 94 71 81 56 27 68 88 11 43 76 41
  2 48 86 97 66 22 30 93 63  0 73 70 67 21 98  6 13 54 95 32 82 17 35 26
 29 90 39 34 77 57 62 78 19 84 20 24  7 49 83 60 12 31 65 52 69  4 18 15
 28  5 85 96 87 64 46  9 53 50 33 38 14 40 89 72 36 10 92 79 61 23 44 80
  8  1 55]",8.0,20.0,14.0
GLS,51.0649,52.70330000000002,51.93671616161196,600.9479677677155,61875.0,"[45 75 20  5 96 61 33 47 34 15 76 53 95 30 80 88  2 18 26 93 37 97 72 92
 91 32  8 63 78 41 74 40 70  9 54 83 46 48  4 39 21 86 82 67 23 14 10 89
 66 42 64 31 25 22 43 62 98 13 35 49 65 44  6 51 85 28 38 71 57  0 56 29
 73 52 17 59  3 87 24 94 11  7 55 60 58 12 50 36 90 79 16 77 84 68 69 19
 81  1 27]",25.0,25.0,4.0
CSA,12.577100000000002,51.98160000000002,17.264682330313153,600.0383267402649,215311.0,"[27, 88, 11, 76, 41, 43, 25, 58, 38, 33, 50, 53, 89, 96, 87, 64, 9, 46, 85, 18, 15, 28, 5, 72, 36, 39, 13, 98, 6, 84, 20, 7, 24, 62, 57, 90, 29, 77, 12, 31, 69, 23, 61, 79, 80, 35, 26, 95, 54, 22, 66, 97, 67, 70, 73, 0, 21, 19, 78, 83, 49, 60, 4, 1, 8, 44, 34, 65, 52, 10, 92, 55, 75, 14, 40, 16, 37, 71, 81, 56, 91, 45, 51, 74, 3, 47, 82, 17, 94, 42, 59, 32, 2, 93, 63, 30, 48, 86, 68]",10.0,17.0,8.0
IWO,40.11009999999999,46.0207,40.620946261726445,600.0127429962158,84677.0,"[87, 15, 21, 18, 38, 92, 39, 61, 31, 36, 19, 52, 46, 64, 8, 80, 26, 65, 33, 76, 43, 68, 5, 50, 42, 1, 89, 12, 53, 37, 72, 81, 59, 54, 2, 22, 3, 56, 35, 97, 57, 94, 34, 58, 51, 14, 6, 71, 41, 66, 78, 13, 25, 9, 4, 69, 29, 10, 16, 45, 93, 30, 17, 77, 98, 73, 67, 0, 70, 63, 55, 7, 83, 79, 86, 88, 95, 74, 27, 32, 20, 84, 44, 28, 90, 24, 60, 62, 82, 47, 11, 23, 96, 49, 85, 91, 75, 48, 40]",20.0,7.0,5.0
BA,40.06869999999999,59.7851,48.24959629986529,600.1755890846252,4837270.0,"[81, 97, 44, 4, 20, 32, 22, 6, 65, 29, 91, 98, 55, 7, 60, 5, 58, 34, 83, 36, 78, 69, 84, 72, 62, 13, 21, 88, 57, 48, 14, 9, 52, 53, 27, 95, 90, 35, 74, 8, 19, 24, 71, 68, 41, 59, 43, 46, 39, 50, 79, 40, 33, 92, 51, 64, 77, 96, 23, 31, 80, 42, 54, 93, 10, 18, 66, 49, 25, 15, 12, 1, 94, 16, 17, 11, 61, 85, 2, 87, 45, 47, 3, 75, 26, 86, 70, 76, 82, 73, 0, 89, 38, 28, 63, 67, 37, 56, 30]",19.0,23.0,24.0
DE,43.94289999999998,52.58209999999999,46.36104512842068,600.0221374034882,21882.0,"[34, 24, 94, 95, 21, 22, 19, 50, 77, 31, 56, 59, 69, 81, 76, 67, 63, 54, 0, 97, 27, 13, 42, 52, 53, 28, 46, 64, 1, 75, 89, 48, 80, 14, 51, 8, 12, 88, 85, 15, 87, 82, 3, 11, 93, 60, 37, 55, 40, 72, 10, 86, 66, 74, 6, 29, 70, 5, 26, 47, 4, 18, 32, 68, 20, 98, 78, 49, 62, 35, 65, 36, 90, 43, 92, 33, 84, 45, 96, 7, 83, 44, 73, 2, 41, 25, 79, 61, 57, 16, 17, 30, 91, 38, 58, 39, 23, 71, 9]",24.0,13.0,2.0
