Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,38.6522,60.28649999999999,49.999308832580894,600.1167528629303,5518319.0,"[69 28 44 89 43 12 72 23 68 36 25 35 93 33 27 15 38 90 91  5 59 74 11 56
 70 54 73 40 63 19 78 85 26  6 92 24 58 46 17 53 61 42 71 82  2 86 45  8
 77 14 48 29  3  9 81 18  4  0 50 52 76 67 10 47 64 31 62 65 79 84 80 55
 49 37 39 87 20 22 51 34 88  1 57 32 13 21  7 75 66 41 16 94 30 60 83]",16.0,23.0,25.0
FLS,8.198099999999995,51.64759999999999,10.726794458089984,507.5393319129944,2598630.0,"[68 35 86 16 33  8 23 75 43 66 40 41 58 76 26 53 50 94  5 47 85 72 31 67
 64 10 74 37 17 24 88 69  1 73 61 52 89 83 78 46 70 12 65 81 84 18 57 55
 62 80 44 49 32 36 39 87 56 29  7 13 79 20  2  3 71 38 21 82 15 60 63 34
 45 90 59 54 11 28 30  4 42 22  6 51 19 77 25 91 14 92 27  0 93 48  9]",1.0,1.0,20.0
BLS,8.392399999999997,49.7344,10.688933186768544,600.0114078521729,3061026.0,"[14 91 25 77 19 22 42  4 30 15 82 21 38 71  3 63 60  2 20 79 13  7 29 56
 87 39 36 49 32 57 55 18 81 84 80 62 44 37 74 10 64 67 50 53 26 76 58 88
 24 17 65 70 46 12 69  1 73 78 83 89 52 61 41 40 66 43 23  8 33 16  5 47
 94 85 72 31 59 45 34 90 54 11 28  6 51 93 35 86 68 75  9 48  0 27 92]",4.0,9.0,23.0
TS,8.678499999999998,47.2801,11.083962870995808,600.0145590305328,2761623.0,"[68 86 16 33  5 47 94 85 72 31 74 37 17 80 62 44 32 49 29  7 56 87 39 36
 57 55 18 84 81 65 70 46 78 83 89 52 61 41 40 66 26 76 58 73  1 12 69 88
 24 10 64 67 50 53  8 23 43 75  9 48  0 27 92 14 91 25 77 19 51 22 42  4
 30 15 82 21 38 71 13 79 20  2  3 63 60 34 45 90 59 54 11 28  6 93 35]",6.0,10.0,21.0
SimAn,8.347199999999996,50.04730000000001,8.371856401686568,600.0100615024567,2219338.0,"[83 89 52 61 41 40 66 43 23  8 75 68 35  9 48 92 14 91 25 77 19 27  0 93
 86 16 33  5 47 94 85 72 31 11 54 59 90 28  6 51 22 42  4 30 82 15 60 63
  2 34 45 20  3 38 21 71 79 13  7 29 56 87 39 36 32 49 44 62 80 81 84 55
 57 18 65 17 24 37 74 10 64 67 50 53 26 76 58 73  1 88 69 12 70 46 78]",3.0,7.0,16.0
ACO,8.220799999999999,25.1999,10.75287058398118,600.0113825798035,38717.0,"[60, 63, 3, 71, 38, 15, 82, 21, 13, 79, 20, 2, 34, 45, 90, 59, 54, 11, 28, 30, 4, 42, 22, 51, 6, 93, 0, 27, 92, 14, 91, 19, 77, 25, 48, 9, 68, 75, 23, 43, 66, 40, 41, 61, 52, 89, 78, 83, 46, 70, 12, 69, 88, 58, 76, 26, 1, 73, 24, 10, 64, 67, 50, 53, 8, 33, 16, 86, 35, 5, 47, 94, 85, 72, 31, 74, 37, 17, 65, 18, 55, 57, 32, 49, 87, 39, 36, 56, 29, 7, 44, 62, 80, 84, 81]",2.0,8.0,3.0
BCO,21.4602,58.03999999999999,43.8466161243156,600.0423789024353,2261305.0,"[27 50 65 60 75 20 90 62 40 39 21 34  1 85 77 82 45 69  5 76 46 22  3 38
 42 74  4 16 19 64 25  0 49 91 37  2 94 66  7 15 83 51 31 61 86 92 89 44
 10 67 73 68 52 30 57 18 53 24  9 58 14 84 41 59 72 26 80 43 11 35 78 33
 93 47 13 70 48 63 71  8 36 29 88 87 54 23 81 56 12 17 32 55 79  6 28]",15.0,19.0,18.0
PSO,40.32149999999999,59.067,49.85547576691976,600.0151104927063,506931.0,"[2, 82, 56, 26, 32, 57, 29, 90, 40, 46, 18, 53, 22, 51, 84, 28, 58, 88, 78, 47, 10, 39, 23, 93, 24, 13, 79, 92, 14, 72, 6, 34, 59, 9, 94, 44, 1, 83, 55, 37, 52, 3, 20, 54, 66, 80, 36, 68, 35, 73, 50, 7, 49, 0, 77, 25, 16, 70, 33, 8, 69, 30, 91, 48, 61, 45, 62, 86, 41, 75, 87, 71, 38, 60, 31, 21, 15, 12, 63, 67, 65, 81, 74, 11, 4, 42, 85, 43, 89, 76, 17, 64, 5, 27, 19]",22.0,11.0,10.0
GS,39.4897,58.90180000000002,50.00088568872867,600.019113779068,903239.0,"[75 92 48 64 73 83 60 12 78 66  1 88 10 69 93 22 41 79  5 81  7 53 43 51
 19  3 61 52 14  6 29 84 80 32 20 72 86 55 82 11 67 76 56  2 17 40 50 58
 65 36 74 94  0 42  9 54  8 16 45 90 38 34 13 15 85 68 70 46 62 57 18 49
 39 44 47 59 37 89 23 27 33 26 91 71 77 24 31 25 87 63 35  4 30 28 21]",20.0,14.0,12.0
BHA,39.26080000000001,58.4887,50.07809424652053,600.0588989257812,2226809.0,"[11 63 43 41  4 24 46 53 82 35 93 62 44 13 90 28 27 16 45 15 50 51 77 38
 21 52 72 19  5 94 74 36 39 85 61 12 40 14 25 47 49 33 89 83  7 92 30 75
 29 70  6 23 91 78 68 17 31  9 69 26 65 84 34  8 22 66  0 58 76 73 81  2
 18 56 32 71 42 88 48 55 54  3 20 10 87 37 67 64 86 57 60 59 80 79  1]",19.0,20.0,17.0
SS,9.394899999999996,44.40710000000001,11.126214723622926,600.0177271366119,131795.0,"[78 46 70 65 18 36 39 87 56 29 20  2 34 45 90 59 10 64 67 50 75 68  9 48
 35 93  0 27 92 14 91 25 77 19 51  6 22 42  4 30 28 54 74 37 17 24 12 69
  1 73 58 88 76 26 53 33 16 94 47 85 72 31 44 62 80 81 84 55 57 32 49  7
 13 79 71 21 82 15 38  3 63 60 11  5 86  8 23 43 66 40 41 61 52 89 83]",9.0,13.0,7.0
