Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,36.518,58.45780000000001,48.34628728682269,600.1126692295074,4323159.0,"[10 23 36 35 34 64  0 43 55 69 88 49 38 65  6 73 50 19 37 26 68 75 13 11
 82 54  8  3 33 74 60 20 30 79 24 41 29 12 72 86 71 21 53  1 62 89 56  4
 17 76 22 47 78 48 67 45 39 25  7 52 81 70 84 44 59 87 31 28 16  2 90 58
 80  5 15 57 27 18 32 61 14 66 83 77 51 91  9 63 40 46 85 42]",16.0,24.0,25.0
FLS,8.2468,50.09760000000002,10.700459612903831,600.004734992981,2394949.0,"[75  7 59  8 74 10 20 60 52 71 22 25 55 82 53 30 43 50 79 35 41 17 85 24
 28 66 39 77 62 83 29 76 12 21  1 26 42 37 58 32  6 45  2 78 47 72 27 15
 90 34 11 57 13 38 69 73 40 67 65  0 89 64 48 14  9  5 46 18 56 84 80  4
 51 49 61 81 91 63 88 23 44 33 31 70  3 86 87 54 19 16 68 36]",4.0,2.0,23.0
BLS,8.410399999999997,48.4082,11.002318724804278,600.0137417316437,2351921.0,"[19 54 60 10 74 20 16 68  8 36 59  7 75 25  1 21 12 55 82 53 30 43 50 79
 35 41 76 83 29 66 28 17 24 39 62 77 90 34 11 57 13 85 65 67  0 89 64 48
 14  9 18 56 46  5 69 73 40 38 47 15 27 72 78  2 45 49 51  4 84 80 61 81
 91 63 88 70 31 33 23 44 58  6 32 42 26 22 71 52 37  3 86 87]",6.0,9.0,22.0
TS,8.003,51.61259999999997,11.148057007109458,600.0181820392609,2135139.0,"[34 11 57 13 38 67 40 73 69 47 51 49 45  2 78 72 27 15 42 26 22  1 21 12
 76 41 35 79 50 43 30 53 82 55 25 75  7 59 36  8 74 10 71 52 60 20 16 68
 19 54 87 86  3 70 31 33 37 32  6 58 44 23 88 63 91 81 61 80 84  4 56 18
 46  5  9 14 48 64 89  0 65 85 17 24 28 29 83 66 39 62 77 90]",2.0,12.0,20.0
SimAn,8.477100000000002,47.62660000000001,8.506484298575687,600.0103480815887,1701808.0,"[12 55 82 53 30 43 50 79 35 41 76 83 29 66 28 24 39 34 11 57 13 65 85 17
  0 89 64 48 14  9  5 18 56 46 69 73 40 67 38 47 45  2 78 72 27 15 90 77
 62 42 32 58  6 49 51  4 84 80 61 81 91 63 88 23 44 33 31 70 37  3 86 87
 19 54 60 52 26 22 71 10 74  8 20 16 68 36 59  7 75 25  1 21]",8.0,6.0,16.0
ACO,7.999900000000002,27.0825,10.425713241827273,600.0228343009949,32639.0,"[11, 34, 90, 77, 62, 26, 42, 32, 6, 58, 44, 23, 88, 63, 91, 81, 61, 49, 51, 4, 84, 80, 56, 18, 46, 5, 9, 14, 48, 64, 89, 0, 67, 40, 73, 69, 38, 13, 57, 85, 24, 17, 28, 66, 39, 83, 29, 76, 41, 35, 53, 30, 43, 50, 79, 82, 55, 25, 75, 7, 59, 36, 8, 74, 10, 52, 60, 87, 86, 3, 70, 31, 33, 37, 54, 19, 20, 16, 68, 71, 22, 1, 21, 12, 65, 72, 78, 2, 45, 47, 15, 27]",1.0,14.0,3.0
BCO,20.294400000000003,56.488500000000016,42.18310859068341,600.0390863418579,1762410.0,"[41  4 66  1 23 36 79 77 20 17 91 44 68 54  5 80 56 39 30 21 43 76 24 35
 28  0 12  3 16 71 55 74 26 48 67 73 37 90 69 78 53 62 14 49 86 52 72 19
 63  7 85 57 32 15 10 88 58 83  6 29 51 61 47 25 65  2 38 45 33 70 81 84
 87  8 13 46 18 75 27 11 40 34 89 50 64  9 60 31 42 82 22 59]",15.0,18.0,18.0
PSO,38.67500000000001,57.93019999999999,48.37140722669972,600.0162150859833,421963.0,"[15, 39, 77, 36, 34, 85, 38, 65, 57, 76, 68, 35, 53, 62, 19, 86, 91, 81, 51, 41, 56, 29, 64, 9, 13, 18, 66, 21, 52, 88, 27, 30, 61, 37, 28, 43, 45, 44, 14, 17, 80, 54, 70, 75, 58, 71, 59, 8, 6, 33, 23, 60, 26, 87, 63, 84, 78, 89, 49, 72, 47, 0, 7, 50, 90, 69, 48, 55, 79, 83, 24, 3, 74, 16, 22, 31, 1, 10, 20, 12, 40, 11, 82, 42, 5, 4, 67, 73, 32, 25, 2, 46]",22.0,10.0,10.0
GS,38.0467,56.7276,48.35135736787346,600.017028093338,689215.0,"[55 41 72 45 27 58  5 38 89 64 11  2 36 26 59 30 76 47 13 52 54 60 12 71
  8 53 50  4 37 48 90 35 75 25 33 34 87 32 51 46 57 15  9 39 42 61  6 77
 14 80 73 69 65 67  1 62 43 79 68 24 66 70 78 19 16 31  3 82 40 17  7 20
 10 18 28 49 83  0 29 23 56 22 21 88 44 63 81 91 86 84 85 74]",19.0,11.0,12.0
BHA,38.499100000000006,57.96569999999999,48.41755326992394,600.0611433982849,1748529.0,"[42 59 76 84 39 56 79 11 88 22 54 73 81 52 74 19 15 49  9 64 65  7 41 86
 87 89 50 45  2 17  8 10 35 58 37 33 20 75 16 48 90 85 80  0 67 82 30 60
 31  3 29 62 21 36 66 32 26  1  4 91 61 44 43 25 83 23 28 63 53 24 12 38
 27 77 71 55 69 34  6 13 68 57 70 72 18 51 47 14  5 40 78 46]",21.0,19.0,17.0
