Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,9.4344,20.6729,15.571469748470172,600.1069722175598,8449093.0,"[19 18 10 27 28 16 15  3  9  8  0 21  1 14  5  2 23 12 24 26 25  7  4 17
 22 13 11  6 20]",17.0,25.0,24.0
FLS,5.1782,16.7608,5.427805587763784,21.056864023208615,178640.0,"[ 9 13 22 23 14  2 17  5  1  3 26 21 24 15  4 25  7 10 16 28 27  0  8  6
 11 18 19 20 12]",9.0,1.0,2.0
BLS,5.0755,16.663299999999996,5.135353039132975,97.41045236587524,828240.0,"[15 24  0  8  6 11 18 19 20 12  9 13 21 26 22 23 14  2 17  5  1  3  4 25
  7 10 16 28 27]",5.0,2.0,8.0
TS,4.832199999999999,15.3286,4.8816499996505565,600.0117828845978,5030676.0,"[17 22 23 14  2  1  3  4 15 25  7 10 16 28 27 24  0  8  6 11 18 19 20 12
  9 13 21 26  5]",1.0,14.0,21.0
SimAn,5.001399999999999,14.695599999999995,5.002088762468874,600.0081911087036,2976513.0,"[25 15  4  3  1 26 21 17  5  2 14 23 22 20 13  9 12 19 18 11  6  8  0 24
 27 28 16 10  7]",4.0,11.0,16.0
ACO,4.832199999999999,11.5798,6.169919531477511,600.002955198288,179244.0,"[7, 25, 15, 4, 3, 21, 26, 17, 5, 1, 2, 14, 23, 22, 20, 12, 9, 13, 19, 18, 11, 6, 8, 0, 24, 27, 28, 16, 10]",1.0,5.0,3.0
BCO,5.185200000000001,19.539900000000003,11.786734185746807,600.0374262332916,3692305.0,"[25 11  6 20 24 13 12 19 18  8 26 15  4 21 17  1 14  2  3  0 23 28 27 22
  9  5 16  7 10]",10.0,21.0,19.0
PSO,10.2143,19.8975,14.714700998416118,600.0103414058685,767830.0,"[3, 4, 27, 28, 6, 13, 18, 19, 11, 9, 26, 7, 10, 8, 12, 21, 16, 0, 17, 23, 20, 24, 25, 15, 14, 22, 5, 2, 1]",22.0,13.0,6.0
GS,10.2418,20.236500000000003,15.57981924385798,600.0174775123596,900599.0,"[14  1  5  3  9 12 28 11  8  0  6 25  7 24 20 13 21 17 22  2 16 10  4 26
 15 27 19 18 23]",23.0,18.0,10.0
BHA,9.6947,20.983500000000003,15.6316719511773,600.0376615524292,3754924.0,"[ 1 13 21  6 23 22  9 16  8 28 26 20 12 17 14  5  0  4  2 25 19 27 18 24
 15  7 10 11  3]",19.0,22.0,20.0
SS,5.1957,15.0682,5.652103404670984,600.0045502185822,927874.0,"[22 20 19 18 12  9 13 26  3  4 15 25  7 10 16 28 27  8  6 11  0 24 21 17
  5  1  2 14 23]",11.0,8.0,11.0
CA,6.792500000000001,14.251200000000004,6.793822151404021,600.0103216171265,1257242.0,"[16 28 27  0  8  6 11 18 19 10  7 25 15  9 13 21 26 17  5  4  3  1  2 14
 23 22 20 12 24]",15.0,12.0,13.0
VNS,4.961199999999999,15.531199999999998,4.96188464334747,600.0276758670807,785078.0,"[23 22 13  9 20 19 18 12 11  6  8  0 24 27 28 16 10  7 25 15  4  3 26 21
 17  5  1  2 14]",3.0,20.0,7.0
HS,8.655899999999999,15.303600000000005,9.03298637492686,600.0507488250732,7438798.0,"[1, 7, 8, 4, 18, 23, 24, 21, 20, 10, 14, 13, 19, 12, 28, 9, 25, 22, 27, 5, 26, 16, 11, 17, 29, 3, 15, 2, 6]",16.0,24.0,23.0
ICA,6.483500000000002,14.2236,6.483790876413035,600.0016386508942,1200461.0,"[24, 27, 28, 16, 25, 4, 3, 13, 20, 19, 18, 12, 9, 21, 26, 15, 7, 10, 8, 6, 11, 0, 17, 5, 1, 2, 14, 23, 22]",14.0,3.0,12.0
CAO,5.1699,14.825400000000004,8.169827996170817,600.0151336193085,6381348.0,"[ 7 10 22 17 23 14 25  5  1  3  4 15 21 13  9 20 19 18 12 26 24  0 11  6
  8 27 28 16  2]",8.0,16.0,22.0
AIS,5.084600000000001,14.192,7.639761623111703,600.0171291828156,2783686.0,"[25, 7, 10, 16, 28, 27, 15, 24, 9, 22, 23, 14, 2, 1, 5, 17, 13, 12, 20, 19, 18, 11, 6, 8, 0, 21, 26, 3, 4]",6.0,17.0,15.0
RFD,5.270799999999999,12.604,5.271077593576531,600.0044505596161,3263362.0,"[ 3 26 17  5  1  2 14 23 22 13 20 19 18 12  9 21 24  0 11  6  8 27 28 15
 16 10  7 25  4]",12.0,7.0,17.0
FA,10.8662,19.9735,15.578198395000037,600.0050539970398,7386394.545161718,"[10  7  4 23 21 24  0 17 18 20 19 12 14  3  2  1 26  5 13 11  8  9 16 27
 25 15 22  6 28]",24.0,10.0,1.0
GA,5.169799999999999,17.078300000000002,5.56675850768219,600.0243711471558,3427744.0,"[26 21 13  9 24 15  3  4 25  7 10 16 28 27  0  8  6 11 18 19 12 20 22 23
 14  2  1  5 17]",7.0,19.0,18.0
GLS,13.105999999999998,14.623900000000004,13.975499999989982,600.0147140026093,529192.0,"[10 22  1 18 11 16  3 15  9  4  8 24 19  0 25  7 20 21 27 28 26 23  2  6
 12 17  5 14 13]",25.0,15.0,5.0
CSA,5.6240000000000006,15.6866,6.243638918488524,600.0038349628448,2334674.0,"[19, 20, 22, 23, 14, 17, 21, 26, 5, 2, 1, 3, 15, 28, 16, 25, 4, 7, 10, 27, 24, 0, 8, 6, 11, 9, 13, 12, 18]",13.0,6.0,14.0
IWO,9.785199999999998,12.382799999999998,9.82416260351486,600.0047488212585,271705.0,"[21, 9, 28, 0, 27, 10, 11, 18, 19, 13, 20, 24, 5, 1, 14, 8, 6, 25, 3, 4, 16, 15, 7, 12, 23, 2, 22, 17, 26]",20.0,9.0,4.0
BA,9.547499999999998,20.7542,14.115813619769224,600.0436942577362,14254104.0,"[5, 6, 9, 10, 4, 28, 16, 25, 15, 27, 0, 1, 14, 2, 3, 22, 17, 13, 21, 12, 19, 8, 23, 18, 20, 7, 24, 11, 26]",18.0,23.0,25.0
DE,9.9502,16.8722,10.31499473016086,600.0021061897278,829585.0,"[17, 23, 14, 26, 12, 18, 6, 7, 10, 4, 28, 24, 8, 11, 15, 25, 27, 2, 21, 0, 16, 13, 19, 20, 9, 22, 5, 1, 3]",21.0,4.0,9.0
