Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,28.180299999999992,47.825299999999984,38.79691251938382,600.1269574165344,6654472.0,"[22 10 67 27 54 36 57 72 50 40  4  0 58 42 41 39 16 46 31  9 32 30 53 24
 35 52  1 14 23  2  6  8 18 38 11  7 19 62 33 43 25 68 73 21 56 64 63 65
 17 70 51 71 29 37 12 26 28 20 15 61  5 13 45 44 69  3 49 47 66 60 74 55
 59 34 48]",17.0,24.0,25.0
FLS,6.9141999999999975,36.2566,8.499886825477752,239.50286507606504,1487400.0,"[74 28 71 31 64 53 56  9 26 27 49 66 55 67 68 20 30 24 11 22 34 10 61 70
 51 16  2 39 73 47 19 38  7 32 15 25 50 40 33 43  1 18 23 62  8 54 14 48
 21 12  4 69  6 29 44 58 41 60 45  0 13 52 36 57 72 46 42  5  3 35 59 65
 63 17 37]",2.0,1.0,14.0
BLS,7.4344,39.49980000000001,8.101073671947114,600.0074741840363,3836471.0,"[ 2 39 73 19 33 43  1 18 23 62  8 54 14 48 21 12 60  0 13 52 36 57 72  5
 42 46 45 41 58 44  4 50 69  6 29  3 35 59 65 63 17 37 74 28 71 64 53 56
  9 31 26 27 49 66 68 55 15 40 25 32  7 38 67 30 20 24 11 22 47 10 34 61
 70 51 16]",9.0,7.0,23.0
TS,7.427399999999999,37.275,8.081193872155877,600.0227167606354,3385324.0,"[70 51 16  2 39 73 43 33  7 32 25 40 50 48 14  1 18 23 62  8 54 21 12  4
 69  6 29  3 44 58 41 60 45 42 46  0 13 52 36 57 72  5 35 17 63 65 59 64
 53 31 71 37 74 28 26  9 56 15 49 27 66 55 68 20 30 24 11 22 67 38 19 47
 10 34 61]",8.0,15.0,21.0
SimAn,7.064299999999997,38.8537,7.079121719347885,600.0117681026459,2566602.0,"[31 26 27  9 56 64 53  3 29  6 69 50 40 25 32 15 49 55 67 68 66 20 30 24
 11 22 34 10 61 70 51 47 19 38  7 16  2 39 73 33 43 18 23 62  8  1 54 14
 48 21  4 12 44 58 41 60 45 42 46  0 13 52 36 57 72  5 35 59 65 63 17 37
 74 28 71]",4.0,9.0,17.0
ACO,6.879100000000001,21.3445,8.670965085914165,600.0117545127869,58896.0,"[61, 10, 34, 22, 11, 24, 30, 20, 28, 71, 31, 9, 56, 26, 27, 49, 66, 68, 55, 67, 38, 7, 32, 19, 47, 16, 2, 39, 73, 33, 43, 48, 14, 54, 1, 23, 18, 62, 8, 21, 12, 4, 69, 6, 29, 3, 53, 64, 59, 65, 63, 17, 37, 74, 35, 5, 42, 46, 45, 0, 13, 52, 36, 57, 72, 44, 58, 41, 60, 50, 40, 25, 15, 51, 70]",1.0,8.0,3.0
BCO,15.2383,46.02120000000001,33.12765959152875,600.0464894771576,2737515.0,"[67 74  1 25 61  7 57 44 62  9 72 42 69 50 64  3 71 73 47 63 24 40 37  5
 49 59 11 31 70 29 13 38 52 33 27 10 35 32 30  8 41 48 45 36 51 16 18 65
 66 23 20 39 54 58 19 21 17 14 68  2 60 22 34 43  4  0 15 26 46  6 55 28
 56 53 12]",15.0,20.0,19.0
PSO,27.951000000000004,46.09899999999999,38.93921237233073,600.0160784721375,758515.0,"[48, 18, 43, 41, 63, 3, 25, 73, 11, 34, 7, 0, 15, 2, 52, 42, 29, 30, 20, 28, 53, 9, 47, 38, 40, 58, 32, 27, 8, 62, 23, 61, 50, 19, 51, 16, 36, 13, 68, 59, 71, 66, 55, 26, 22, 70, 39, 10, 33, 69, 6, 17, 35, 5, 37, 65, 67, 24, 21, 57, 60, 56, 1, 64, 72, 46, 45, 14, 54, 4, 74, 44, 49, 31, 12]",16.0,11.0,10.0
GS,30.20390000000001,47.1139,38.80396495369738,600.0188782215118,986649.0,"[62  7 65 24 22 44  3 51 73 43 42  0 13 72 63 17 36 35 57 54 74 50 16 12
  4 10 33 21 19  6 52 23 30  9 11 49 60 45 47 61 15 48 14 25 39 70 18  1
 40 58 37 59 29 56 38  2 31 66 69 34 55 68  5 46 41 27 53 64 28 32 67 71
 20 26  8]",22.0,14.0,12.0
BHA,29.707099999999997,46.829800000000006,38.866516995405526,600.0642313957214,2721359.0,"[61 49  0 52 63 22 11 10 72 36 42 66 27 30 74 26 65  8 13 67  9 19  2 24
 37 60 71 31  3 58 33 54  1  5 55  6 16 48 39 45 14 15 44 69 12 38 34 53
 21 47 29 41 40 73 57 18 50  4 17 68 28 43 70 56 23 62 64 35 51 59 46 20
  7 25 32]",21.0,21.0,18.0
